#Mon Apr 12 16:43:29 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_carp_F08-A_carp_F07	1	1	1	1.911945104598999	0	0
A_card_H08-A_card_H06	1	1	1	0.32169604301452637	0	0
v_cud_H08-A_card_H04	2	2	1	0.6043810844421387	0	0
v_buck_H06-A_bark_H08	2	1	0	0.8243191242218018	1	0
v_cud_H05-v_cud_H04	1	1	1	0.6274900436401367	0	1
v_puck_H06-A_park_H08	2	1	0	0.7682380676269531	1	0
A_mart_F07-v_mutt_F09	2	2	1	0.6793789863586426	0	0
v_cup_F09-v_cup_F06	1	1	1	1.079906702041626	0	0
A_tart_H04-A_tart_H08	1	1	1	0.3471989631652832	0	0
A_tart_F06-A_tart_F08	1	1	1	1.0389430522918701	0	0
v_mutt_H04-A_mart_H07	2	2	1	0.46651387214660645	0	0
v_putt_H06-A_part_H07	2	2	1	0.6934530735015869	0	0
v_bun_H08-A_barn_H06	2	2	1	2.716439962387085	0	0
A_part_H08-A_part_H09	1	1	1	0.47928500175476074	0	0
v_mutt_F05-v_mutt_F04	1	1	1	0.33406591415405273	0	0
A_lark_F04-A_lark_F09	1	1	1	0.33666181564331055	0	0
A_carp_F07-v_cup_F06	2	2	1	0.6147210597991943	0	0
v_putt_F09-v_putt_F08	1	1	1	0.8187689781188965	0	0
A_tart_F05-v_tut_F04	2	2	1	0.9044339656829834	0	0
A_carp_F09-v_cup_F08	2	2	1	0.936708927154541	0	0
A_bark_F07-v_buck_F04	2	2	1	0.3358590602874756	0	0
A_part_H09-v_putt_H04	2	2	1	0.23465490341186523	0	0
v_cup_H08-A_carp_H06	2	2	1	0.32689499855041504	0	0
A_park_F06-A_park_F05	1	1	1	0.5878279209136963	0	0
A_cart_H05-v_cut_H04	2	1	0	0.4086613655090332	1	0
A_tart_H06-A_tart_H08	1	1	1	0.6206142902374268	0	0
A_carp_H05-v_cup_H07	2	2	1	1.0929348468780518	0	0
v_tut_F05-v_tut_F08	1	1	1	1.146543025970459	0	1
v_cut_F07-v_cut_F04	1	2	0	0.3550736904144287	1	0
v_cup_H05-v_cup_H08	1	1	1	0.3380308151245117	0	0

#TotalErreurs#4#TempsTotal#2min 28sec
