#Thu Mar 11 08:38:10 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_kip_F04-I_keep_F07	2	2	1	0.712026834487915	0	1
I_beak_F06-I_beak_F05	1	1	1	0.5680058002471924	0	0
I_peak_F09-i_pick_F05	2	2	1	1.3794350624084473	0	0
I_beak_H09-i_bik_H04	2	1	0	0.28803014755249023	1	0
I_cheap_F08-I_chip_F07	1	1	1	1.3662762641906738	0	0
i_sick_F08-I_seek_F09	2	2	1	0.5480771064758301	0	0
I_cheap_H05-i_cheap_H07	2	1	0	1.3761301040649414	1	0
i_did_H09-i_did_H04	1	1	1	1.096099853515625	0	0
I_teak_F04-I_teak_F08	1	1	1	0.41602492332458496	0	0
I_beak_H07-i_bik_H04	2	2	1	0.7486939430236816	0	0
i_bik_H05-i_bik_H06	1	1	1	0.8877859115600586	0	0
I_cheap_H09-i_cheap_H08	2	1	0	0.4664802551269531	1	0
i_bin_F08-I_bean_F09	2	2	1	1.134477138519287	0	0
i_kip_F07-i_kip_F08	1	2	0	0.3040330410003662	1	0
i_tick_F06-I_teak_F09	2	2	1	0.5943951606750488	0	0
i_tick_F09-i_tick_F07	1	2	0	0.2800321578979492	1	0
I_seek_F09-i_sick_F05	2	2	1	0.760045051574707	0	0
i_sick_H07-i_sick_H08	1	2	0	0.26659297943115234	1	0
I_leak_H08-I_leak_H09	1	1	1	0.2719707489013672	0	0
I_beak_F07-i_bik_F04	2	2	1	0.6805150508880615	0	0
i_min_F08-I_mean_F07	2	2	1	0.2880361080169678	0	0
i_bin_F06-I_bean_F04	2	2	1	1.1499969959259033	0	1
I_deed_H09-i_did_H07	2	2	1	1.4654970169067383	0	0
i_bik_F06-I_beak_F07	2	2	1	0.30403828620910645	0	0
i_chip_F06-I_chip_F05	2	1	0	0.9372420310974121	1	0
I_keep_F07-i_kip_F09	2	2	1	0.6330101490020752	0	0
I_peak_H05-i_pick_H06	2	2	1	1.5392158031463623	0	0
I_peak_F05-i_pick_F06	2	2	1	0.2720310688018799	0	0
I_keep_H08-I_keep_H06	1	1	1	0.920684814453125	0	0
i_bin_F09-i_bin_F06	1	1	1	0.5750339031219482	0	0

#TotalErreurs#7#TempsTotal#2min 46sec
