#Wed Mar 03 13:55:09 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_tick_H08-I_teak_H05	2	1	0	0.2721891403198242	1	0
i_bin_H07-i_bin_H09	1	2	0	1.3170340061187744	1	0
I_keep_H06-I_keep_H07	1	1	1	0.7126688957214355	0	0
I_mean_H07-i_min_H04	2	2	1	0.5896902084350586	0	0
I_peak_H06-I_peak_H08	1	1	1	0.7605860233306885	0	0
I_cheap_H07-i_cheap_H06	2	1	0	0.6874349117279053	1	0
I_leak_H05-i_lick_H09	2	2	1	1.2182090282440186	0	0
I_keep_F04-I_keep_F08	1	1	1	1.2058241367340088	0	0
I_beak_H08-I_beak_H09	1	1	1	0.3235509395599365	0	0
I_keep_H05-i_kip_H04	2	2	1	1.6013000011444092	0	0
i_did_H06-I_deed_H09	2	2	1	0.2823143005371094	0	0
i_did_H05-i_did_H07	1	2	0	0.47431302070617676	1	0
I_beak_F04-I_beak_F09	1	2	0	0.25756025314331055	1	0
I_teak_H08-I_teak_H04	1	1	1	1.6093549728393555	0	0
I_cheap_F05-i_cheap_F07	2	1	0	0.2344059944152832	1	0
i_tick_H09-i_tick_H07	1	1	1	0.6995511054992676	0	0
I_keep_H08-I_keep_H06	1	1	1	0.2958106994628906	0	0
i_kip_F09-i_kip_F06	1	1	1	0.5312833786010742	0	0
I_cheap_F08-I_chip_F07	1	2	0	0.4798281192779541	1	0
i_bin_F07-i_bin_F09	1	1	1	0.9314203262329102	0	0
I_keep_H07-i_kip_H09	2	2	1	1.3592979907989502	0	0
I_deed_H08-I_deed_H05	1	2	0	1.348297119140625	1	0
i_kip_H07-i_kip_H08	1	2	0	0.47831296920776367	1	0
i_min_F07-i_min_F08	1	2	0	1.1009521484375	1	0
i_tick_F07-i_tick_F06	1	1	1	0.5162510871887207	0	0
i_pick_F04-I_peak_F09	2	2	1	0.25858211517333984	0	0
i_bik_H09-i_bik_H08	1	1	1	0.4622032642364502	0	0
i_tick_F05-i_tick_F08	1	1	1	0.2645566463470459	0	0
I_peak_H09-i_pick_H05	2	2	1	0.7721548080444336	0	0
I_peak_F04-I_peak_F07	1	1	1	0.7344491481781006	0	0

#TotalErreurs#10#TempsTotal#2min 37sec
