#Wed Feb 24 12:41:35 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_luck_H07	luck	v	1.6878719329833984	0	0
A_card_F06	card	A	1.2216389179229736	0	0
A_tart_H05	tart	A	1.3356480598449707	0	0
v_buck_F05	buck	v	1.032715082168579	0	0
A_cart_F08	cart	A	1.094419002532959	0	0
v_bun_F05	bun	v	0.6273269653320312	1	0
A_lark_F05	lark	A	2.374242067337036	0	0
v_buck_H04	buck	v	1.329916000366211	0	0
v_bun_F04	bun	v	1.035282850265503	0	0
v_buck_H08	buck	v	1.0833549499511719	0	0
A_part_H04	part	A	1.3990871906280518	1	0
A_part_H05	part	A	1.03568696975708	0	1
v_cut_H07	cut	v	1.7911019325256348	0	0
A_mart_H08	mart	A	2.1102490425109863	0	0
A_cart_F04	cart	A	1.242431879043579	0	0
A_lark_H04	lark	A	1.120345115661621	0	0
A_park_H05	park	A	1.363572120666504	0	0
A_park_F07	park	A	1.57069730758667	0	0
A_barn_H08	barn	A	1.1153740882873535	0	0
v_puck_F09	puck	v	0.9878382682800293	0	0
v_putt_H05	putt	v	1.1819288730621338	0	0
A_carp_F08	carp	A	0.18202805519104004	1	3
v_tut_H08	tut	v	1.181657075881958	0	0
v_putt_F08	putt	v	0.9916071891784668	0	0
v_cud_H07	cud	v	0.8791780471801758	1	0
v_cut_H08	cut	v	0.9754288196563721	0	0
A_cart_F07	cart	A	2.3511548042297363	0	0
A_park_H06	park	A	1.1611969470977783	0	0
A_part_H09	part	A	1.8795878887176514	0	0
v_cud_H04	cud	v	1.0047359466552734	0	0

#TotalErreurs#4TempsTotal#1min 47sec
