#Thu May 06 15:35:51 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_bark_F05-v_buck_F08	2	2	1	4.718012809753418	0	0
v_cup_H06-A_carp_H05	2	2	1	1.0636110305786133	0	0
v_cut_F06-A_cart_F09	2	2	1	8.08136773109436	0	0
v_mutt_F08-A_mart_F09	2	2	1	0.9039227962493896	0	0
v_cut_H07-v_cut_H04	1	1	1	1.2196598052978516	0	0
A_part_F05-v_putt_F06	2	2	1	1.301279067993164	0	0
A_park_H05-v_puck_H09	2	2	1	3.311497449874878	0	0
v_putt_F06-A_part_F07	2	2	1	1.3082568645477295	0	0
A_bark_H06-A_bark_H04	1	1	1	0.8463201522827148	0	0
v_puck_H09-v_puck_H08	1	1	1	1.282628059387207	0	0
v_putt_F09-v_putt_F08	1	1	1	1.1016979217529297	0	0
A_barn_H07-v_bun_H09	2	2	1	0.8762776851654053	0	0
v_luck_H07-v_luck_H09	1	1	1	1.0291492938995361	0	0
A_bark_F08-A_bark_F06	1	1	1	0.6298763751983643	0	0
A_card_F06-A_card_F07	1	1	1	0.6576440334320068	0	0
A_tart_F06-A_tart_F08	1	1	1	0.5257968902587891	0	0
A_card_F05-v_cud_F04	2	2	1	1.2571189403533936	0	0
A_park_H04-A_park_H06	1	1	1	2.719020128250122	0	0
A_carp_F08-A_carp_F07	1	1	1	0.8112471103668213	0	0
A_lark_H04-A_lark_H09	1	1	1	3.3098974227905273	0	0
v_putt_H07-v_putt_H09	1	1	1	1.2979340553283691	0	0
A_part_F04-A_part_F09	1	1	1	0.5002796649932861	0	0
A_mart_H08-A_mart_H07	1	1	1	1.2760159969329834	0	0
A_mart_F06-A_mart_F05	1	1	1	0.20593905448913574	0	0
v_buck_H08-A_bark_H07	2	2	1	0.7881100177764893	0	0
A_part_H09-v_putt_H04	2	2	1	0.8304600715637207	0	0
v_cud_F05-v_cud_F04	1	1	1	0.7248752117156982	0	0
A_cart_F08-A_cart_F05	1	1	1	0.6528608798980713	0	0
v_buck_F07-v_buck_F08	1	1	1	0.5958590507507324	0	0
A_mart_H09-v_mutt_H05	2	2	1	0.8395910263061523	0	0

#TotalErreurs#0#TempsTotal#2min 13sec
