#Tue May 04 09:08:32 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_mutt_F06-A_mart_F05	2	2	1	13.430385112762451	0	0
A_park_F05-v_puck_F09	2	2	1	1.1893551349639893	0	0
v_luck_H05-v_luck_H04	1	1	1	1.2720189094543457	0	0
A_card_F05-v_cud_F04	2	2	1	1.511383056640625	0	0
A_card_F04-A_card_F08	1	1	1	0.9606359004974365	0	0
A_bark_F05-v_buck_F08	2	2	1	0.9668443202972412	0	0
v_cud_F06-A_card_F05	2	2	1	0.993995189666748	0	0
v_luck_H08-A_lark_H09	2	2	1	2.104933977127075	0	0
v_putt_H04-A_part_H06	2	2	1	0.9683489799499512	0	0
A_lark_F04-A_lark_F09	1	1	1	1.047516107559204	0	0
A_barn_H08-A_barn_H05	1	2	0	0.44908881187438965	1	0
A_mart_H04-A_mart_H05	1	1	1	0.8772969245910645	0	0
A_lark_F07-v_luck_F08	2	2	1	1.176316261291504	0	0
A_park_H04-A_park_H06	1	1	1	1.088036060333252	0	0
A_lark_F09-v_luck_F06	2	2	1	2.307935953140259	0	0
A_card_H08-A_card_H06	1	1	1	0.8481011390686035	0	0
v_cud_H07-v_cud_H08	1	1	1	0.9454281330108643	0	0
A_part_H05-v_putt_H06	2	2	1	0.9865748882293701	0	0
v_cut_F06-A_cart_F09	2	2	1	1.4197380542755127	0	0
A_barn_F09-v_bun_F05	2	2	1	1.2962760925292969	0	0
v_tut_H06-A_tart_H09	2	2	1	1.8326971530914307	0	0
v_mutt_F05-v_mutt_F04	1	1	1	1.077239990234375	0	0
v_cup_H04-A_carp_H05	2	2	1	1.1578998565673828	0	0
A_lark_F06-A_lark_F05	1	1	1	0.8364551067352295	0	0
A_park_H08-A_park_H09	1	1	1	0.8090517520904541	0	0
A_part_F04-A_part_F09	1	1	1	0.4820747375488281	0	0
A_bark_F04-A_bark_F09	1	1	1	1.6532888412475586	0	0
v_puck_H07-v_puck_H08	1	1	1	37.278990745544434	0	0
A_part_H04-A_part_H09	1	1	1	0.5843839645385742	0	0
A_cart_H09-v_cut_H07	2	2	1	9.530354261398315	0	0

#TotalErreurs#1#TempsTotal#3min 6sec
