#Thu May 06 15:38:09 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_beak_F05-i_bik_F06	2	2	1	4.6343770027160645	0	0
I_leak_F07-i_lick_F04	2	2	1	1.0971059799194336	0	0
i_pick_H04-I_peak_H09	2	2	1	1.8493661880493164	0	0
i_pick_F07-i_pick_F06	1	1	1	0.9471898078918457	0	0
I_cheap_F05-i_cheap_F07	2	2	1	1.1732430458068848	0	0
i_lick_H06-I_leak_H08	2	2	1	2.4556548595428467	0	0
i_lick_H09-i_lick_H08	1	1	1	0.9837429523468018	0	0
I_peak_H06-I_peak_H08	1	1	1	1.4754931926727295	0	0
i_did_F09-i_did_F04	1	1	1	1.5406599044799805	0	0
i_sick_F05-i_sick_F04	1	1	1	0.263822078704834	0	0
i_did_F08-I_deed_F05	2	2	1	1.0435969829559326	0	0
i_pick_F09-i_pick_F07	1	1	1	0.8474318981170654	0	0
I_seek_H07-i_sick_H09	2	2	1	1.0548019409179688	0	0
I_deed_F08-I_deed_F05	1	1	1	1.7775537967681885	0	0
i_min_H08-I_mean_H07	2	2	1	1.120224952697754	0	0
I_cheap_F06-I_chip_F07	1	1	1	1.171825885772705	0	0
i_lick_H04-I_leak_H07	2	2	1	1.584078073501587	0	0
i_bik_F09-i_bik_F08	1	1	1	3.7636849880218506	0	0
i_did_H07-i_did_H04	1	1	1	2.797718048095703	0	0
i_min_F06-I_mean_F08	2	2	1	1.7786219120025635	0	0
I_teak_F09-i_tick_F05	2	2	1	1.6406550407409668	0	0
i_did_H09-i_did_H04	1	1	1	0.7086620330810547	0	0
i_kip_H04-I_keep_H07	2	2	1	0.9578070640563965	0	0
I_bean_H07-i_bin_H08	2	2	1	1.1381230354309082	0	0
I_seek_F06-I_seek_F05	1	1	1	2.43812894821167	0	0
i_sick_H07-i_sick_H08	1	1	1	1.396254301071167	0	0
i_pick_H08-I_peak_H06	2	2	1	0.9103891849517822	0	0
i_bin_H09-i_bin_H06	1	1	1	1.2609081268310547	0	0
i_lick_F06-I_leak_F08	2	2	1	1.1460988521575928	0	0
I_bean_H09-i_bin_H06	2	2	1	0.8341748714447021	0	0

#TotalErreurs#0#TempsTotal#2min 11sec
