#00#Wed Feb 24 12:55:57 2021#ListeOddity_2.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
I_keep_H05-i_kip_H04-i_kip_H08	I	1	1	1	1.397087812423706	0	1
v_cud_F06-a_cad_F07-a_cad_F04	v	1	1	1	0.5848190784454346	0	1
v_cud_H07-A_card_H04-A_card_H09	v	1	1	1	0.9523770809173584	0	0
I_keep_F05-I_keep_F08-i_kip_F04	i	3	3	1	2.01082706451416	0	0
v_bun_F04-a_ban_F05-a_ban_F06	v	1	1	1	0.04576992988586426	0	1
A_barn_F07-v_bun_F06-A_barn_F05	v	2	2	1	0.2657132148742676	0	1
v_bun_F05-v_bun_F07-a_ban_F08	a	3	2	0	0.1144249439239502	3	2
a_cat_H04-v_cut_H08-a_cat_H07	v	2	2	1	0.42754292488098145	0	0
v_bun_H07-A_barn_H09-A_barn_H05	v	1	1	1	0.5534577369689941	0	1
a_cad_H07-v_cud_H09-v_cud_H05	a	1	1	1	0.3962576389312744	0	0
A_card_F05-v_cud_F06-A_card_F07	v	2	2	1	0.13511109352111816	0	0
I_peak_F04-i_pick_F09-I_peak_F06	i	2	1	0	0.09066009521484375	2	0
a_cat_H05-v_cut_H08-v_cut_H07	a	1	2	0	0.29879188537597656	3	0
A_barn_F07-A_barn_F06-v_bun_F05	v	3	3	1	0.5605618953704834	0	0
v_puck_F09-A_park_F05-v_puck_F07	A	2	2	1	1.1927499771118164	0	0
v_tut_F09-v_tut_F05-a_tat_F06	a	3	2	0	1.2135038375854492	2	0
I_deed_H06-i_did_H09-i_did_H07	I	1	1	1	0.9170429706573486	0	0
A_card_H08-v_cud_H06-v_cud_H09	A	1	1	1	1.4968669414520264	0	0
v_cut_H06-a_cat_H07-v_cut_H08	a	2	2	1	1.291914939880371	0	1
I_peak_F04-i_pick_F07-i_pick_F05	I	1	1	1	1.9833691120147705	0	0
A_cart_F09-A_cart_F04-v_cut_F09	v	3	3	1	0.34975099563598633	0	0
A_cart_F06-v_cut_F04-A_cart_F09	v	2	3	0	0.5549070835113525	3	1
i_kip_H07-I_keep_H04-i_kip_H06	I	2	2	1	0.7351148128509521	0	0
i_kip_H06-i_kip_H05-I_keep_H07	I	3	3	1	0.16581296920776367	0	0
A_tart_H08-v_tut_H04-A_tart_H05	v	2	2	1	0.16185808181762695	0	0
i_kip_H07-I_keep_H04-I_keep_H05	i	1	1	1	1.386960744857788	0	0
A_park_F07-v_puck_F09-v_puck_F05	A	1	2	0	0.31899094581604004	2	0
v_cut_F06-v_cut_F09-a_cat_F08	a	3	3	1	0.6418318748474121	0	0
i_pick_H07-I_peak_H09-I_peak_H04	i	1	3	0	0.311981201171875	2	1
v_cud_F07-A_card_F04-A_card_F09	v	1	1	1	0.04077315330505371	0	0

#TotalErreurs#17TempsTotal#9min 46sec
#00#Mon Mar 15 22:27:32 2021#ListeOddity_2.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
v_bun_H07-A_barn_H09-A_barn_H05	v	1	1	1	5.216246128082275	0	0
i_did_F09-I_deed_F06-i_did_F08	I	2	2	1	1.9216277599334717	0	0
A_park_H05-A_park_H04-v_puck_H08	v	3	3	1	2.8226850032806396	0	0
i_did_F08-i_did_F09-I_deed_F07	I	3	3	1	0.22794294357299805	0	0
v_bun_H04-a_ban_H05-a_ban_H06	v	1	1	1	1.524379014968872	0	0
v_bun_H08-A_barn_H09-v_bun_H05	A	2	2	1	1.7423532009124756	0	0
