Sat Jan 30 18:00:54 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
A_cart_H07	cart	A	A	1.5302631855010986	0	0
a_tat_F06	tat	a	a	1.5741429328918457	0	0
v_cut_H04	cut	v	a	0.5024971961975098	1	0
I_teak_H05	teak	I	i	0.5107419490814209	1	0
a_cat_H08	cat	a	A	0.8722138404846191	2	0
i_sick_H09	sick	i	i	1.617844820022583	0	0
I_seek_H04	seek	I	I	1.0250978469848633	0	0
I_peak_H09	peak	I	i	0.4598569869995117	1	0
A_barn_F06	barn	A	v	0.632559061050415	1	0
I_peak_F05	peak	I	i	0.3899972438812256	1	0
a_ban_F07	ban	a	a	3.4457311630249023	0	0
A_park_F06	park	A	A	1.4287259578704834	0	0
A_cart_F06	cart	A	v	0.2599310874938965	1	0
I_keep_F04	keep	I	i	0.3312997817993164	1	0
A_cart_F05	cart	A	A	1.1682159900665283	0	0
I_teak_H08	teak	I	i	0.4216902256011963	1	0
I_peak_F09	peak	I	i	0.2209458351135254	1	0
i_did_F05	did	i	i	1.8258399963378906	0	0
i_tick_H06	tick	i	I	0.15170526504516602	1	0
a_cat_F08	cat	a	a	0.9771761894226074	0	0
a_tat_F05	tat	a	a	0.9873473644256592	0	0
a_tat_H08	tat	a	v	0.5205597877502441	1	0
I_keep_H08	keep	I	I	2.543586254119873	0	0
v_cud_H09	cud	v	v	1.5846807956695557	0	0
v_tut_F09	tut	v	v	1.22930908203125	0	0
I_teak_F06	teak	I	I	2.0014841556549072	0	0
v_cut_F07	cut	v	v	1.6956841945648193	0	0
A_tart_H07	tart	A	A	1.60005784034729	0	0
i_kip_F06	kip	i	i	1.4565379619598389	0	0
A_cart_H06	cart	A	A	1.303788185119629	0	0

#TotalErreurs#13#TempsTotal#2min 4sec
