#Mon Mar 01 17:07:54 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_cat_F04-a_cat_F05	1	1	1	3.2495529651641846	0	0
v_cut_F08-a_cat_F05	2	2	1	1.096086025238037	0	0
a_cat_H05-v_cut_H04	2	2	1	1.0924527645111084	0	0
v_mutt_H09-v_mutt_H06	1	1	1	1.4712190628051758	0	0
a_pat_H09-v_putt_H04	2	2	1	3.6741080284118652	0	0
a_tat_H09-v_tut_H05	2	2	1	1.2494831085205078	0	0
a_mat_H06-a_mat_H05	1	1	1	1.9952681064605713	0	0
v_putt_H05-v_putt_H06	1	1	1	1.2179169654846191	0	0
v_cut_H07-v_cut_H04	1	1	1	1.1819982528686523	0	0
a_pack_H09-v_puck_H08	2	2	1	1.2340888977050781	0	0
a_cap_F06-a_cap_F07	1	1	1	1.2174961566925049	0	0
a_cad_F04-a_cad_F08	1	1	1	1.000148057937622	0	0
a_tat_H07-v_tut_H04	2	2	1	1.0310349464416504	0	0
v_tut_F09-v_tut_F07	1	1	1	0.9562571048736572	0	0
v_tut_H09-v_tut_H07	1	1	1	0.6450848579406738	0	0
v_puck_F09-v_puck_F08	1	1	1	0.6743443012237549	0	0
a_cap_F07-v_cup_F06	2	2	1	1.096963882446289	0	0
a_ban_H07-v_bun_H09	2	2	1	1.6121768951416016	0	0
v_mutt_H07-v_mutt_H08	1	1	1	1.2404279708862305	0	0
v_mutt_F04-a_mat_F07	2	2	1	1.3421833515167236	0	0
a_lack_H07-v_luck_H08	2	2	1	0.9063677787780762	0	0
v_buck_F09-v_buck_F04	1	1	1	1.0031518936157227	0	0
v_cup_F06-a_cap_F05	2	2	1	1.0773420333862305	0	0
v_putt_H06-a_pat_H07	2	2	1	0.8017921447753906	0	0
a_pack_F05-v_puck_F09	2	2	1	1.5105948448181152	0	0
a_cap_H08-a_cap_H07	1	1	1	2.187396764755249	0	0
a_back_H07-v_buck_H04	2	2	1	1.0458409786224365	0	0
a_tat_H06-a_tat_H08	1	1	1	1.2240629196166992	0	0
v_cut_H05-v_cut_H07	1	1	1	1.0147228240966797	0	0
v_bun_H07-v_bun_H06	1	1	1	1.0308868885040283	0	0

#TotalErreurs#0#TempsTotal#2min 18sec
