#Mon Feb 15 21:40:35 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cud_F07	cud	v	10.926451921463013	0	0
a_lack_F04	lack	a	3.1493959426879883	0	0
v_cud_F06	cud	v	2.5569846630096436	0	0
a_ban_F06	ban	a	2.1152968406677246	0	0
v_tut_H07	tut	v	1.3877379894256592	0	0
a_ban_H04	ban	a	1.2680559158325195	0	0
v_luck_H09	luck	v	1.1037721633911133	0	0
v_cut_F06	cut	v	1.0439631938934326	0	0
a_mat_H09	mat	a	1.415827989578247	0	0
v_luck_H08	luck	v	1.1484510898590088	0	0
a_cat_H05	cat	a	1.051037073135376	0	0
a_back_H08	back	a	6.3846821784973145	0	0
v_luck_H05	luck	v	6.660132169723511	0	0
v_puck_F09	puck	v	1.0990238189697266	0	0
v_cup_F04	cup	v	1.1801531314849854	0	0
a_pack_F05	pack	a	1.1375248432159424	0	0
a_lack_F08	lack	a	0.9570400714874268	0	0
v_cut_F07	cut	v	2.1392929553985596	0	0
a_back_F04	back	a	1.4162318706512451	0	0
v_bun_F09	bun	v	0.6056780815124512	1	0
a_ban_H09	ban	a	1.4540331363677979	0	0
v_bun_F04	bun	v	1.894413709640503	0	0
a_cap_F05	cap	a	1.100841999053955	0	0
v_tut_H05	tut	v	1.669619083404541	0	0
a_back_F06	back	a	1.1951050758361816	0	0
a_lack_F05	lack	a	1.146582841873169	0	0
a_cap_H09	cap	a	0.817490816116333	0	0
v_cud_H05	cud	v	0.9053430557250977	0	0
v_buck_H09	buck	v	0.8546760082244873	0	0
v_mutt_F08	mutt	v	1.0041849613189697	0	0

#TotalErreurs#1TempsTotal#1min 54sec
