Mon Mar 01 17:46:17 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_tick_H05	tick	i	i	4.961505174636841	0	0
I_teak_F05	teak	I	I	1.7411348819732666	0	0
i_pick_F05	pick	i	i	1.295593023300171	0	0
i_sick_H04	sick	i	i	1.0707168579101562	0	0
i_tick_F05	tick	i	i	0.7502977848052979	0	0
i_sick_H08	sick	i	i	0.7502121925354004	0	0
v_tut_H04	tut	v	v	1.1947810649871826	0	0
v_tut_F07	tut	v	v	0.9823718070983887	0	0
i_kip_H09	kip	i	i	1.3061108589172363	0	0
v_cut_F05	cut	v	v	1.0142219066619873	0	0
I_seek_H07	seek	I	I	1.1411511898040771	0	0
v_cut_H06	cut	v	v	0.9406850337982178	0	0
i_sick_F06	sick	i	i	1.0460610389709473	0	0
a_cad_F06	cad	a	a	1.2383480072021484	0	0
a_cat_F09	cat	a	a	1.1311461925506592	0	0
A_park_H05	park	A	A	1.171814203262329	0	0
I_peak_H05	peak	I	I	1.4759023189544678	0	0
A_park_H06	park	A	A	1.17724609375	0	0
I_deed_H08	deed	I	I	5.178398847579956	0	0
i_tick_H06	tick	i	i	1.5014500617980957	0	0
I_peak_F05	peak	I	I	1.3170268535614014	0	0
I_peak_F07	peak	I	I	0.7133510112762451	0	0
i_did_H08	did	i	i	1.1838510036468506	0	0
A_barn_H06	barn	A	A	1.202118158340454	0	0
a_tat_F05	tat	a	a	1.1462457180023193	0	0
A_tart_H08	tart	A	A	1.2079789638519287	0	0
v_bun_F08	bun	v	v	0.9399800300598145	0	0
a_ban_F07	ban	a	a	1.6226410865783691	0	0
I_deed_F07	deed	I	I	1.395376205444336	0	0
a_tat_F07	tat	a	a	1.421752691268921	0	0

#TotalErreurs#0#TempsTotal#1min 31sec
