#Sat Jan 30 16:17:29 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_mean_F09-i_min_F07	2	1	0	1.571479082107544	1	1
i_pick_F09-i_pick_F07	1	1	1	0.6521039009094238	0	0
i_pick_H06-I_peak_H07	2	2	1	1.2984631061553955	0	0
I_seek_F07-i_sick_F09	2	1	0	2.495321035385132	1	0
I_peak_H09-i_pick_H05	2	1	0	0.6641099452972412	1	0
i_bik_H07-i_bik_H09	1	2	0	0.33317089080810547	1	1
I_teak_F04-I_teak_F08	1	1	1	3.5872581005096436	0	0
I_mean_H04-I_mean_H09	1	2	0	0.3570089340209961	1	0
i_tick_F05-i_tick_F08	1	1	1	0.47928786277770996	0	0
i_chip_F07-i_cheap_F04	1	2	0	0.2559800148010254	1	0
I_keep_H07-i_kip_H09	2	1	0	0.2781550884246826	1	0
i_chip_F04-I_chip_F05	2	1	0	0.2035050392150879	1	0
i_bik_H04-I_beak_H06	2	1	0	0.46588587760925293	1	1
I_leak_F05-i_lick_F09	2	2	1	1.251640796661377	0	0
I_cheap_F09-i_cheap_F08	2	2	1	1.0350940227508545	0	0
i_min_F06-I_mean_F08	2	2	1	3.087786912918091	0	0
I_seek_F05-i_sick_F07	2	2	1	1.1492488384246826	0	0
I_teak_H08-I_teak_H04	1	1	1	1.9515867233276367	0	0
i_min_F05-i_min_F09	1	2	0	0.5303149223327637	1	0
i_min_F09-i_min_F04	1	2	0	1.0891659259796143	1	0
I_bean_F09-i_bin_F06	2	1	0	0.03128504753112793	1	0
i_bik_F06-I_beak_F07	2	1	0	0.19980525970458984	1	0
i_sick_H08-I_seek_H09	2	2	1	1.1867036819458008	0	0
i_kip_F05-i_kip_F04	1	2	0	0.7626898288726807	1	0
i_pick_H08-I_peak_H06	2	2	1	3.1559841632843018	0	0
I_beak_F09-i_bik_F04	2	2	1	1.5747699737548828	0	0
I_deed_H06-I_deed_H09	1	1	1	1.5387909412384033	0	0
i_tick_H06-I_teak_H09	2	2	1	0.8692750930786133	0	0
i_bik_H09-i_bik_H08	1	1	1	0.5124340057373047	0	0
i_kip_H05-i_kip_H04	1	1	1	0.6231350898742676	0	0

#TotalErreurs#14#TempsTotal#5min 26sec
