#Thu Feb 11 09:48:38 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_mean_F08-I_mean_F06	1	1	1	1.2971282005310059	0	0
I_deed_H09-i_did_H07	2	2	1	0.5687801837921143	0	0
I_keep_F08-I_keep_F06	1	1	1	1.2672739028930664	0	0
i_sick_H04-I_seek_H07	2	2	1	0.7014758586883545	0	0
I_teak_F06-I_teak_F08	1	1	1	1.3507277965545654	0	0
i_bin_F06-I_bean_F04	2	1	0	0.2701864242553711	1	0
i_lick_F06-I_leak_F08	2	2	1	0.32172417640686035	0	0
i_tick_H09-i_tick_H07	1	1	1	0.3595850467681885	0	0
i_bik_H08-I_beak_H04	2	2	1	0.7021868228912354	0	0
i_bin_F04-I_bean_F05	2	1	0	0.6384027004241943	1	0
I_leak_F08-I_leak_F09	1	1	1	0.692467212677002	0	0
I_teak_F04-I_teak_F08	1	1	1	1.4983129501342773	0	1
I_beak_H05-i_bik_H06	2	2	1	0.5717148780822754	0	0
I_teak_F08-I_teak_F04	1	1	1	1.0954999923706055	0	0
i_kip_F09-i_kip_F06	1	1	1	0.7593538761138916	0	0
i_kip_F06-I_keep_F05	2	2	1	0.5339388847351074	0	0
i_tick_F06-I_teak_F09	2	2	1	1.3935911655426025	0	0
I_beak_F07-i_bik_F04	2	2	1	1.8821871280670166	0	0
i_pick_H04-I_peak_H09	2	1	0	0.7354700565338135	1	0
i_chip_H08-I_chip_H06	2	1	0	0.9651250839233398	1	1
i_min_H07-i_min_H08	1	1	1	1.1379601955413818	0	0
i_sick_H08-I_seek_H09	2	2	1	1.0954420566558838	0	0
i_sick_H06-I_seek_H05	2	2	1	0.9524097442626953	0	0
I_seek_F08-I_seek_F07	1	1	1	1.6426823139190674	0	0
i_min_H09-i_min_H04	1	1	1	1.6797571182250977	0	0
I_peak_F07-i_pick_F09	2	2	1	0.5656304359436035	0	0
I_seek_F07-i_sick_F09	2	2	1	1.2891299724578857	0	0
I_seek_H04-I_seek_H05	1	1	1	0.70143723487854	0	0
I_keep_H09-i_kip_H06	2	2	1	0.6322002410888672	0	0
I_teak_F07-i_tick_F04	2	2	1	1.5788218975067139	0	0

#TotalErreurs#4#TempsTotal#2min 31sec
