Mon Mar  8 11:38:36 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_beak_H09	beak	I	I	3.850632245070301	0	0
a_lack_F06	lack	a	a	1.8723401880124584	0	0
A_mart_H06	mart	A	A	1.0285396450199187	0	0
i_min_F09	min	i	i	1.2377084239851683	0	0
I_cheap_F05	cheap	I	I	1.0607211970491335	0	0
i_min_H04	min	i	i	0.9631634230026975	0	0
v_mutt_H07	mutt	v	v	1.108940993086435	0	0
A_part_H06	part	A	A	0.9715088489465415	0	0
I_cheap_H05	cheap	I	I	1.0369058230426162	0	0
v_buck_F04	buck	v	v	0.8254285299917683	0	0
I_beak_H08	beak	I	I	0.8735082029597834	0	0
a_cap_H04	cap	a	a	2.0386830850038677	0	0
v_luck_H04	luck	v	v	0.8404946739319712	0	0
I_cheap_H07	cheap	I	I	1.9709765729494393	0	0
v_buck_F05	buck	v	v	1.1208449370460585	0	0
A_carp_H05	carp	A	A	1.1671674239914864	0	0
A_carp_F05	carp	A	A	0.8488142050337046	0	0
a_cap_F05	cap	a	a	1.1135490259621292	0	0
a_lack_F09	lack	a	a	1.6408764829393476	0	0
a_lack_H06	lack	a	a	0.6364755060058087	0	0
v_luck_F06	luck	v	v	0.8856027779402211	0	0
i_chip_H08	chip	i	i	1.9735687470529228	0	0
a_lack_F07	lack	a	a	4.626185421016999	0	0
v_buck_H04	buck	v	v	0.8711255189264193	0	0
A_lark_F04	lark	A	A	1.8347278540022671	0	0
a_cap_H09	cap	a	a	1.1193248480558395	0	0
a_mat_F07	mat	a	a	1.2693147959653288	0	0
a_cap_F09	cap	a	a	0.7245060849236324	0	0
v_cup_H04	cup	v	v	0.7122683910420164	0	0
a_lack_F04	lack	a	a	2.479833796969615	0	0

#TotalErreurs#0#TempsTotal#1min 31sec
