#Mon Mar 08 19:45:35 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_tart_H04	tart	A	1.529112883261405	0	0
A_mart_F05	mart	A	1.2674529780633748	0	0
A_card_H07	card	A	1.1202810656977817	0	0
A_card_F06	card	A	1.0011249594390392	0	0
v_puck_H07	puck	v	0.9832450336543843	1	0
A_lark_F07	lark	A	0.7801008896203712	1	0
A_carp_F08	carp	A	0.9704560760874301	0	0
v_luck_F04	luck	v	1.4462809861870483	0	0
A_lark_F09	lark	A	0.45018898567650467	1	0
A_mart_H05	mart	A	3.9655659068375826	1	0
A_barn_F05	barn	A	35.384626943967305	0	0
A_park_H07	park	A	1.6684149304637685	0	0
A_cart_H09	cart	A	1.4337158838752657	1	0
v_bun_H04	bun	v	2.444631907506846	0	0
A_cart_F07	cart	A	1.2319070068188012	1	0
A_cart_H08	cart	A	0.5729960158932954	1	0
v_tut_H08	tut	v	1.8894731141626835	0	0
A_mart_H06	mart	A	1.2283740577986464	0	0
v_bun_F07	bun	v	1.426989971427247	0	0
v_cud_H07	cud	v	1.203834881191142	1	0
v_mutt_F04	mutt	v	1.2887269282946363	0	0
A_bark_F05	bark	A	2.08491992612835	0	0
A_mart_H07	mart	A	2.827933046151884	0	0
v_mutt_H09	mutt	v	1.8117279233410954	0	0
A_carp_F09	carp	A	1.2630930908489972	1	0
v_bun_H08	bun	v	2.5273790926439688	0	0
A_park_H08	park	A	1.8557820599526167	0	0
v_cud_F09	cud	v	1.4215571059612557	0	0
A_lark_H07	lark	A	2.108385087456554	1	0
v_tut_F08	tut	v	1.020467932918109	1	0

#TotalErreurs#11TempsTotal#3min 25sec
