#Mon Jan 25 14:13:01 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_peak_F09-i_pick_F05	2	2	1	0.2338319100672379	0	1
i_bin_F09-i_bin_F06	1	1	1	0.8367529461393133	0	0
I_cheap_F05-i_cheap_F07	2	2	1	1.091147963074036	0	0
I_cheap_H07-i_cheap_H06	2	1	0	0.3465189124690369	1	1
i_pick_F07-i_pick_F06	1	1	1	1.9596660825191066	0	0
I_beak_F06-I_beak_F05	1	1	1	0.641083900583908	0	0
i_lick_H04-I_leak_H07	2	1	0	0.20307205896824598	1	0
i_min_F07-i_min_F08	1	1	1	2.619560032268055	0	0
I_deed_F04-I_deed_F05	1	1	1	0.6025220974115655	0	0
I_cheap_H05-i_cheap_H07	2	1	0	0.06555994029622525	1	0
i_kip_F09-i_kip_F06	1	1	1	0.4605840329313651	0	0
i_pick_H09-i_pick_H07	1	1	1	0.4748790382873267	0	0
I_mean_F09-i_min_F07	2	1	0	0.48007900279480964	1	0
I_leak_H06-I_leak_H05	1	2	0	0.18971097993198782	1	0
i_did_F07-i_did_F04	1	1	1	0.48819294886197895	0	0
i_bin_H04-I_bean_H05	2	1	0	0.7286259435350075	1	0
i_chip_H06-I_chip_H05	2	2	1	0.710269984905608	0	1
I_peak_F05-i_pick_F06	2	2	1	0.4617700451053679	0	0
i_did_H08-I_deed_H05	2	2	1	1.6290239774389192	0	0
I_seek_H06-I_seek_H05	1	2	0	0.2444100535940379	1	1
I_mean_H04-I_mean_H09	1	2	0	0.9175420737592503	1	2
I_leak_F04-I_leak_F06	1	1	1	1.2731510193552822	0	0
i_pick_F06-I_peak_F07	2	2	1	0.4743619228247553	0	1
i_sick_H04-I_seek_H07	2	2	1	0.783466101041995	0	1
I_cheap_F07-i_cheap_F06	2	1	0	0.35634407203178853	1	0
i_tick_H08-I_teak_H05	2	1	0	0.06402301217895001	1	1
I_deed_F07-i_did_F05	2	2	1	0.2319729501614347	0	1
i_bik_H09-i_bik_H08	1	1	1	1.280664883670397	0	1
i_lick_H06-I_leak_H08	2	1	0	0.10581201536115259	1	0
I_keep_F09-i_kip_F06	2	1	0	0.4813661159714684	1	0

#TotalErreurs#12#TempsTotal#3min 33sec
