#Wed Feb 24 19:42:57 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_mat_H04	mat	a	2.221914365014527	0	0
v_luck_F09	luck	v	1.9007551530376077	0	0
a_cad_F06	cad	a	1.0782832170370966	0	0
a_pat_H06	pat	a	1.1146127569954842	0	0
a_mat_F05	mat	a	1.2899689199985005	0	0
a_cat_H08	cat	a	0.9779183099744841	0	1
v_mutt_H06	mutt	v	0.9851179639808834	0	0
v_bun_F04	bun	v	1.1284896119614132	0	0
a_pack_F07	pack	a	0.8907450180267915	0	0
v_cut_F06	cut	v	0.948387154028751	0	0
a_mat_H05	mat	a	1.0799069249769673	0	0
v_cud_H07	cud	v	1.1383645359892398	0	0
a_cad_H09	cad	a	1.1098222240107134	0	0
v_cut_F04	cut	v	0.90450735099148	1	0
v_mutt_H07	mutt	v	1.2000983780017123	0	0
a_cad_H04	cad	a	1.072081488033291	0	0
a_ban_H05	ban	a	1.2983399729710072	0	0
v_cut_H06	cut	v	1.101825824007392	0	0
v_tut_F05	tut	v	1.1587210150319152	0	0
a_pack_H08	pack	a	0.9945209079887718	0	0
a_ban_F04	ban	a	0.809924494009465	0	1
a_tat_F04	tat	a	1.1893908440251835	0	0
v_tut_F09	tut	v	0.9386154890526086	0	0
v_bun_H06	bun	v	0.8374853699933738	0	0
a_cad_F09	cad	a	0.9751153630204499	0	0
v_putt_H08	putt	v	1.4032627650303766	0	0
v_luck_H04	luck	v	1.9445669110282324	0	0
v_mutt_H05	mutt	v	0.9468618599930778	0	0
a_cat_F04	cat	a	0.8091393900103867	0	0
a_tat_F08	tat	a	0.9261577359866351	0	0

#TotalErreurs#1TempsTotal#1min 44sec
