#Sun Feb 07 18:05:02 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_luck_F04-a_lack_F05	2	2	1	0.40772318840026855	0	1
a_mat_H09-v_mutt_H05	2	1	0	0.7800321578979492	1	0
a_pat_F07-v_putt_F04	2	1	0	1.4175667762756348	1	1
v_putt_F09-v_putt_F08	1	1	1	0.48116207122802734	0	0
v_putt_F07-v_putt_F09	1	1	1	0.9012050628662109	0	0
a_tat_H04-a_tat_H08	1	2	0	0.12099719047546387	1	0
v_tut_H06-a_tat_H09	2	1	0	0.15856218338012695	1	1
v_cut_F07-v_cut_F04	1	1	1	0.14629793167114258	0	0
a_mat_H07-v_mutt_H09	2	1	0	0.2327568531036377	1	0
v_mutt_F08-a_mat_F09	2	2	1	0.32636404037475586	0	0
a_cat_H09-v_cut_H07	2	1	0	0.328920841217041	1	0
v_mutt_H04-a_mat_H07	2	2	1	0.6298460960388184	0	1
a_lack_F07-v_luck_F08	2	2	1	0.6188199520111084	0	0
a_back_F08-a_back_F06	1	1	1	0.473128080368042	0	0
v_puck_F07-v_puck_F08	1	2	0	0.10516905784606934	1	0
a_pack_H08-a_pack_H09	1	1	1	2.320274829864502	0	0
v_cup_H05-v_cup_H08	1	1	1	0.20814990997314453	0	0
v_mutt_F09-v_mutt_F06	1	1	1	0.13549590110778809	0	0
v_bun_H05-v_bun_H08	1	2	0	0.3087799549102783	1	0
v_luck_H06-a_lack_H04	2	2	1	0.31552720069885254	0	0
v_cud_F09-v_cud_F06	1	1	1	0.36267995834350586	0	0
v_putt_F05-v_putt_F06	1	1	1	0.17428374290466309	0	0
a_cad_F06-a_cad_F07	1	1	1	0.3341069221496582	0	0
v_buck_F07-v_buck_F08	1	2	0	0.7716341018676758	1	1
a_pat_H04-a_pat_H09	1	1	1	0.07185578346252441	0	0
v_puck_F08-a_pack_F07	2	2	1	1.9023149013519287	0	0
v_putt_H05-v_putt_H06	1	1	1	0.6625311374664307	0	0
v_cud_H07-v_cud_H08	1	2	0	0.12771892547607422	1	0
a_cat_H04-a_cat_H05	1	1	1	0.7028088569641113	0	0
a_cap_H06-a_cap_H07	1	1	1	0.232285737991333	0	0

#TotalErreurs#10#TempsTotal#5min 59sec
