#Tue May 04 13:39:53 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_mutt_H05-v_mutt_H04	1	1	1	3.601123809814453	0	0
v_cut_F04-a_cat_F09	2	2	1	1.1283938884735107	0	0
v_puck_H07-v_puck_H08	1	1	1	1.77590012550354	0	0
v_puck_F09-v_puck_F08	1	1	1	0.825078010559082	0	0
a_back_F09-v_buck_F07	2	2	1	2.9565770626068115	0	0
a_pat_F05-v_putt_F06	2	2	1	0.9787540435791016	0	0
v_cut_H08-a_cat_H05	2	2	1	1.1233317852020264	0	0
v_puck_F05-v_puck_F06	1	1	1	0.8414020538330078	0	0
a_pat_H04-a_pat_H09	1	1	1	1.0006709098815918	0	0
a_tat_H09-v_tut_H05	2	2	1	0.9455580711364746	0	0
v_cut_H07-v_cut_H04	1	1	1	1.1293609142303467	0	0
v_tut_H09-v_tut_H07	1	1	1	0.7078208923339844	0	0
a_back_H07-v_buck_H04	2	2	1	1.4098622798919678	0	0
a_pat_F06-a_pat_F05	1	1	1	1.03849196434021	0	0
a_pat_F04-a_pat_F09	1	1	1	1.4497230052947998	0	0
v_cut_H04-a_cat_H09	2	2	1	1.0549418926239014	0	0
a_pat_H09-v_putt_H04	2	2	1	1.781722068786621	0	0
a_pat_H05-v_putt_H06	2	2	1	1.4936001300811768	0	0
a_pack_F06-a_pack_F05	1	1	1	1.6490659713745117	0	0
v_luck_F06-a_lack_F04	2	2	1	2.1396000385284424	0	0
a_tat_F06-a_tat_F08	1	1	1	1.368143081665039	0	0
v_cud_F09-v_cud_F06	1	1	1	1.1391820907592773	0	0
a_cap_H06-a_cap_H07	1	1	1	1.0169169902801514	0	0
v_puck_H06-a_pack_H08	2	2	1	1.320965051651001	0	0
v_puck_F08-a_pack_F07	2	2	1	1.210252046585083	0	0
a_pack_F08-a_pack_F09	1	1	1	0.991112232208252	0	0
a_mat_H04-a_mat_H05	1	1	1	1.1333727836608887	0	0
a_back_H04-a_back_H09	1	1	1	1.6687180995941162	0	0
v_buck_F08-a_back_F07	2	2	1	1.0630531311035156	0	0
v_bun_F09-v_bun_F07	1	1	1	1.1680090427398682	0	0

#TotalErreurs#0#TempsTotal#2min 13sec
