#Tue May 04 13:42:17 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_mutt_F05-v_mutt_F04	1	1	1	1.5060789585113525	0	0
A_lark_F09-v_luck_F06	2	2	1	1.250436782836914	0	0
A_bark_F09-v_buck_F07	2	2	1	1.2871510982513428	0	0
A_barn_F05-v_bun_F06	2	2	1	1.0648622512817383	0	0
v_puck_H08-A_park_H07	2	2	1	1.068490982055664	0	0
v_luck_H06-A_lark_H04	2	2	1	1.1082210540771484	0	0
A_cart_H07-v_cut_H05	2	2	1	1.064526081085205	0	0
v_cud_F07-v_cud_F08	1	1	1	1.088454246520996	0	0
v_luck_H09-v_luck_H06	1	1	1	1.160374641418457	0	0
A_card_F08-A_card_F06	1	1	1	1.29598069190979	0	0
A_cart_F06-A_cart_F09	1	1	1	3.448194980621338	0	0
v_mutt_F09-v_mutt_F06	1	1	1	1.035996913909912	0	0
v_puck_H06-A_park_H08	2	2	1	0.9756391048431396	0	0
A_lark_H05-v_luck_H06	2	2	1	1.0876648426055908	0	0
v_tut_F05-v_tut_F08	1	1	1	1.129425287246704	0	0
A_lark_H07-v_luck_H08	2	2	1	0.8683130741119385	0	0
A_tart_H06-A_tart_H08	1	1	1	1.2922630310058594	0	0
A_part_F05-v_putt_F06	2	2	1	1.39426589012146	0	0
v_mutt_F07-v_mutt_F08	1	1	1	1.2912590503692627	0	0
A_card_H06-A_card_H07	1	1	1	1.9376680850982666	0	0
A_mart_F04-A_mart_F05	1	1	1	1.6434330940246582	0	0
A_tart_H04-A_tart_H08	1	1	1	2.6423439979553223	0	0
A_carp_H05-v_cup_H07	2	2	1	1.0266218185424805	0	0
A_barn_H08-A_barn_H05	1	1	1	1.4837429523468018	0	0
v_putt_F07-v_putt_F09	1	1	1	1.3483316898345947	0	0
A_mart_H07-v_mutt_H09	2	2	1	1.2033941745758057	0	0
v_tut_H05-v_tut_H08	1	1	1	1.568237066268921	0	0
A_bark_H04-A_bark_H09	1	1	1	1.2639658451080322	0	0
v_putt_H05-v_putt_H06	1	1	1	1.006519079208374	0	0
A_tart_F05-v_tut_F04	2	2	1	1.1563911437988281	0	0

#TotalErreurs#0#TempsTotal#2min 17sec
