#Fri Apr  2 15:20:46 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_lark_F06-A_lark_F05	1	1	1	0.9959044039715081	0	1
A_park_F05-v_puck_F09	2	2	1	0.9653570000082254	0	0
A_cart_F06-A_cart_F09	1	1	1	0.9945072080008686	0	0
A_tart_F06-A_tart_F08	1	1	1	0.2903811549767852	0	0
v_buck_H05-v_buck_H09	1	1	1	0.25133191799977794	0	0
A_lark_H06-A_lark_H05	1	1	1	0.2634429649915546	0	0
v_cut_F09-v_cut_F04	1	2	0	0.05810302501777187	1	0
A_mart_F07-v_mutt_F09	2	2	1	1.1566218829830177	0	4
v_putt_F04-A_part_F06	2	2	1	0.21784483001101762	0	0
v_cut_H07-v_cut_H04	1	2	0	0.05469699896639213	1	0
A_mart_H06-A_mart_H05	1	1	1	0.5018336729845032	0	0
v_puck_F04-A_park_F07	2	2	1	0.4675990680116229	0	0
A_bark_F05-v_buck_F08	2	2	1	1.0219924909761176	0	1
A_barn_H04-A_barn_H07	1	2	0	0.05539232102455571	1	0
v_puck_H04-A_park_H07	2	2	1	0.22856879199389368	0	2
v_bun_H05-v_bun_H08	1	2	0	1.1009747640346177	1	1
v_cud_F07-v_cud_F08	1	1	1	0.45560156798455864	0	0
v_buck_H09-v_buck_H04	1	2	0	0.05494501697830856	1	0
A_mart_F04-A_mart_F05	1	1	1	0.05930185399483889	0	0
A_bark_F07-v_buck_F04	2	1	0	0.056548386986833066	1	0
A_lark_F08-A_lark_F09	1	2	0	0.057746136968489736	1	0
A_bark_F06-A_bark_F04	1	2	0	0.06504554598359391	1	0
A_part_F04-A_part_F09	1	2	0	0.05721116001950577	1	1
A_park_F07-v_puck_F04	2	1	0	0.05708189500728622	1	0
A_lark_H08-A_lark_H09	1	1	1	2.273504457960371	0	1
A_bark_F09-v_buck_F07	2	2	1	0.2582189220120199	0	0
v_bun_H09-v_bun_H07	1	1	1	0.2602892559953034	0	0
A_cart_H05-v_cut_H04	2	2	1	0.3078984750318341	0	0
v_luck_H07-v_luck_H09	1	1	1	0.47131937998346984	0	0
v_luck_H09-v_luck_H06	1	1	1	0.6489297150401399	0	0

#TotalErreurs#10#TempsTotal#6min 34sec
