#Mon Mar 08 23:16:30 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_putt_H07-v_putt_H09	1	2	0	0.06920695304870605	1	0
v_cup_F09-v_cup_F06	1	1	1	0.38837099075317383	0	0
A_mart_F04-A_mart_F05	1	2	0	0.4346790313720703	1	0
v_cud_F07-v_cud_F08	1	2	0	0.1334679126739502	1	0
v_buck_H08-A_bark_H07	2	2	1	2.8824052810668945	0	0
A_card_H04-A_card_H08	1	2	0	0.21026825904846191	1	0
A_tart_F05-v_tut_F04	2	2	1	0.5505480766296387	0	1
v_luck_F09-v_luck_F06	1	2	0	0.2254018783569336	1	0
A_part_H06-A_part_H05	1	1	1	0.7254869937896729	0	0
v_putt_H04-A_part_H06	2	2	1	0.25412988662719727	0	0
A_bark_F05-v_buck_F08	2	1	0	0.2099781036376953	1	0
v_luck_H04-A_lark_H05	2	2	1	0.8754088878631592	0	0
v_cut_H09-v_cut_H04	1	2	0	0.5735089778900146	1	0
v_cud_H09-v_cud_H06	1	1	1	1.076904058456421	0	0
A_bark_H08-A_bark_H06	1	1	1	0.7466518878936768	0	0
A_carp_H06-A_carp_H07	1	1	1	0.07716703414916992	0	0
v_puck_F08-A_park_F07	2	2	1	0.9041368961334229	0	0
v_cut_F08-A_cart_F05	2	2	1	0.18457317352294922	0	0
A_cart_H06-A_cart_H09	1	2	0	0.12471985816955566	1	0
A_carp_H05-v_cup_H07	2	1	0	0.07280707359313965	1	0
v_mutt_H06-A_mart_H05	2	2	1	1.2877840995788574	0	0
v_tut_F05-v_tut_F08	1	1	1	0.869966983795166	0	0
A_bark_F04-A_bark_F09	1	2	0	0.06038713455200195	1	0
A_barn_F07-v_bun_F09	2	1	0	1.1433839797973633	1	0
v_tut_H04-A_tart_H07	2	2	1	0.41951489448547363	0	0
v_tut_H08-A_tart_H05	2	1	0	0.2318408489227295	1	0
v_cud_H08-A_card_H04	2	2	1	0.2014169692993164	0	0
v_cup_H08-A_carp_H06	2	1	0	0.12074613571166992	1	0
A_card_F09-v_cud_F06	2	1	0	0.49268317222595215	1	0
A_mart_F05-v_mutt_F07	2	2	1	0.5066468715667725	0	0

#TotalErreurs#14#TempsTotal#22min 41sec
