#Tue Mar 30 17:18:40 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_chip_F06-I_chip_F05	2	2	1	3.859407901763916	0	0
i_bin_F08-I_bean_F09	2	2	1	1.3965399265289307	0	0
i_min_H09-i_min_H04	1	1	1	0.45238208770751953	0	1
i_lick_H07-i_lick_H08	1	1	1	1.0363819599151611	0	0
I_cheap_H09-i_cheap_H08	2	2	1	1.326828956604004	0	0
i_chip_F08-I_chip_F06	2	2	1	2.4127418994903564	0	0
i_bik_H07-i_bik_H09	1	1	1	1.217350721359253	0	0
i_bin_F09-i_bin_F06	1	1	1	1.4790263175964355	0	0
I_beak_F05-i_bik_F06	2	2	1	1.878404140472412	0	0
I_bean_H05-i_bin_H06	2	2	1	1.4979300498962402	0	0
i_bik_F06-I_beak_F07	2	2	1	1.0327329635620117	0	0
I_mean_H08-I_mean_H06	1	1	1	1.383131980895996	0	0
i_tick_H09-i_tick_H07	1	1	1	14.362723112106323	0	0
i_bin_H09-i_bin_H06	1	1	1	5.773549795150757	0	0
I_leak_F09-i_lick_F08	2	2	1	15.977657794952393	0	0
I_peak_H09-i_pick_H05	2	2	1	3.556182861328125	0	0
I_seek_H04-I_seek_H05	1	1	1	1.478694200515747	0	0
i_did_H08-I_deed_H05	2	2	1	19.726233959197998	0	0
I_bean_F05-i_bin_F06	2	2	1	3.2194159030914307	0	0
i_lick_F08-I_leak_F07	2	2	1	8.344532012939453	0	0
I_keep_F05-i_kip_F04	2	2	1	1.0800189971923828	0	0
i_lick_H05-i_lick_H06	1	1	1	29.312267065048218	0	0
I_teak_F07-i_tick_F04	2	2	1	0.870556116104126	0	0
I_bean_H07-i_bin_H08	2	2	1	23.70000195503235	0	0
I_seek_H08-I_seek_H07	1	1	1	1.072524070739746	0	0
I_cheap_H06-I_chip_H07	1	1	1	1.3402597904205322	0	0
I_teak_H06-I_teak_H08	1	1	1	0.8519401550292969	0	0
I_deed_F04-I_deed_F05	1	1	1	0.6874160766601562	0	0
i_lick_F05-i_lick_F06	1	1	1	1.489821195602417	0	0
i_min_F08-I_mean_F07	2	2	1	0.21101999282836914	0	0

#TotalErreurs#0#TempsTotal#4min 2sec
