Fri Feb 26 14:57:36 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_keep_H06	keep	I	I	2.5707221031188965	0	0
a_cad_F07	cad	a	a	1.9912612438201904	0	0
a_tat_F07	tat	a	a	1.0883898735046387	0	0
v_cut_F04	cut	v	v	1.5580170154571533	0	0
i_pick_F09	pick	i	i	2.0147128105163574	0	0
i_tick_F08	tick	i	i	1.131446123123169	0	0
A_park_F06	park	A	A	2.0350520610809326	0	0
I_teak_H07	teak	I	I	4.783540964126587	0	0
i_sick_H06	sick	i	i	1.789586067199707	0	0
i_pick_H07	pick	i	i	1.0681540966033936	0	0
a_cad_H06	cad	a	a	1.7139978408813477	0	0
I_keep_F07	keep	I	I	1.4332020282745361	0	0
I_deed_F06	deed	I	I	1.1473569869995117	0	0
a_cad_H07	cad	a	a	1.6481809616088867	0	0
a_tat_F05	tat	a	a	1.0704028606414795	0	0
v_tut_H05	tut	v	v	1.4704959392547607	0	0
A_park_F09	park	A	A	1.995859146118164	0	0
a_cad_F06	cad	a	a	1.8284130096435547	0	0
I_seek_F09	seek	I	I	1.8413810729980469	0	0
A_tart_F08	tart	A	A	2.0832982063293457	0	0
v_cud_H06	cud	v	v	1.3565139770507812	0	0
a_pack_F09	pack	a	a	1.4075448513031006	0	0
I_teak_H09	teak	I	I	1.7115578651428223	0	0
a_cat_F05	cat	a	a	1.4198319911956787	0	0
v_cut_H06	cut	v	v	1.4120991230010986	0	0
I_deed_F05	deed	I	I	1.7624480724334717	0	0
I_deed_H09	deed	I	I	1.100066900253296	0	0
i_kip_F05	kip	i	i	1.4164161682128906	0	0
v_cut_F09	cut	v	v	1.4283018112182617	0	0
A_park_H08	park	A	A	1.84397292137146	0	0

#TotalErreurs#0#TempsTotal#1min 40sec
