#Wed Apr 07 12:15:05 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_pack_H04-a_pack_H06	1	1	1	1.0680298805236816	0	0
v_cup_F04-a_cap_F05	2	2	1	1.619957685470581	0	0
a_tat_H08-a_tat_H04	1	1	1	1.2345330715179443	0	0
a_cap_F04-a_cap_F05	1	1	1	0.6822910308837891	0	0
v_tut_H05-v_tut_H08	1	1	1	0.8888719081878662	0	0
a_cap_H06-a_cap_H07	1	1	1	0.7833859920501709	0	0
a_pack_F04-a_pack_F06	1	1	1	0.8313107490539551	0	0
v_tut_F09-v_tut_F07	1	1	1	0.2641792297363281	0	0
v_cup_H07-v_cup_H04	1	1	1	1.5986592769622803	0	0
a_back_H05-v_buck_H08	2	2	1	1.5885868072509766	0	0
a_pack_H09-v_puck_H08	2	2	1	0.9166960716247559	0	0
v_cup_H09-v_cup_H06	1	1	1	1.2194960117340088	0	0
a_lack_H06-a_lack_H05	1	1	1	0.9429531097412109	0	0
a_back_F05-v_buck_F08	2	2	1	0.9077329635620117	0	0
a_ban_H05-v_bun_H06	2	2	1	1.3555970191955566	0	0
a_pat_H06-a_pat_H05	1	1	1	1.0480399131774902	0	0
a_pat_F09-v_putt_F04	2	2	1	1.1583170890808105	0	0
a_cat_H08-a_cat_H05	1	1	1	1.4018628597259521	0	0
v_puck_H05-v_puck_H06	1	1	1	0.971794843673706	0	0
a_cat_F04-a_cat_F05	1	1	1	0.8750200271606445	0	0
a_cad_H09-v_cud_H06	2	2	1	1.9975180625915527	0	0
v_cut_H09-v_cut_H04	1	1	1	1.9635708332061768	0	0
a_lack_F06-a_lack_F05	1	1	1	0.4139060974121094	0	0
v_cud_H08-a_cad_H04	2	2	1	0.5139970779418945	0	0
v_puck_H06-a_pack_H08	2	2	1	0.2810959815979004	0	0
a_pat_H09-v_putt_H04	2	1	0	0.8571209907531738	1	0
v_mutt_H05-v_mutt_H04	1	1	1	1.8141579627990723	0	0
v_tut_F04-a_tat_F07	2	2	1	1.3669853210449219	0	0
a_ban_H06-a_ban_H08	1	1	1	1.2414121627807617	0	0
a_cad_H04-a_cad_H08	1	1	1	0.7731869220733643	0	0

#TotalErreurs#1#TempsTotal#2min 18sec
