#Fri Mar 12 15:40:05 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_barn_F08-A_barn_F05	1	1	1	4.195913076400757	0	0
A_barn_H09-v_bun_H05	2	2	1	1.1130011081695557	0	0
v_buck_F08-A_bark_F07	2	2	1	1.1365950107574463	0	0
A_bark_F04-A_bark_F09	1	1	1	0.8684091567993164	0	0
A_part_F09-v_putt_F04	2	2	1	1.1551618576049805	0	0
v_puck_H06-A_park_H08	2	2	1	0.998974084854126	0	0
v_puck_H08-A_park_H07	2	2	1	1.0457968711853027	0	0
v_luck_H05-v_luck_H04	1	1	1	1.4966881275177002	0	0
A_card_H07-v_cud_H09	2	2	1	2.567521095275879	0	0
v_bun_H08-A_barn_H06	2	2	1	1.1986989974975586	0	0
v_cud_H06-A_card_H05	2	2	1	1.1682476997375488	0	0
v_buck_H08-A_bark_H07	2	2	1	1.221534013748169	0	0
A_bark_F06-A_bark_F04	1	1	1	1.5101020336151123	0	0
A_carp_F06-A_carp_F07	1	1	1	1.0798919200897217	0	0
v_putt_F09-v_putt_F08	1	1	1	4.005596160888672	0	0
A_tart_F07-v_tut_F04	2	2	1	1.169748306274414	0	0
A_card_F09-v_cud_F06	2	2	1	1.3866150379180908	0	0
v_putt_H07-v_putt_H09	1	1	1	1.097890853881836	0	0
v_cup_H07-v_cup_H04	1	1	1	1.4381499290466309	0	0
v_cud_F09-v_cud_F06	1	1	1	1.2409400939941406	0	0
A_mart_H04-A_mart_H05	1	1	1	1.7524092197418213	0	0
A_carp_F09-v_cup_F08	2	2	1	1.3633129596710205	0	0
A_park_F07-v_puck_F04	2	2	1	1.0936238765716553	0	0
A_card_F06-A_card_F07	1	1	1	1.1937568187713623	0	0
v_tut_H09-v_tut_H07	1	1	1	0.9738366603851318	0	0
v_luck_H06-A_lark_H04	2	2	1	1.2357549667358398	0	0
A_card_F08-A_card_F06	1	1	1	1.1643848419189453	0	0
A_cart_H07-v_cut_H05	2	2	1	1.1914911270141602	0	0
A_bark_F09-v_buck_F07	2	2	1	1.0677721500396729	0	0
v_mutt_F06-A_mart_F05	2	2	1	1.2296397686004639	0	0

#TotalErreurs#0#TempsTotal#2min 21sec
