#Wed Mar 31 21:34:07 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cup_F06-A_carp_F05	2	2	1	1.020076036453247	0	0
v_luck_F05-v_luck_F04	1	1	1	1.5552880764007568	0	0
v_cud_F06-A_card_F05	2	2	1	1.3015568256378174	0	0
A_mart_H04-A_mart_H05	1	1	1	1.5210390090942383	0	0
v_cud_F05-v_cud_F04	1	1	1	1.0349161624908447	0	0
v_cut_H05-v_cut_H07	1	1	1	0.9987452030181885	0	0
v_cup_H09-v_cup_H06	1	1	1	0.968174934387207	0	0
A_tart_H05-v_tut_H04	2	2	1	1.5384860038757324	0	0
A_carp_F05-v_cup_F07	2	2	1	1.3095080852508545	0	0
v_cud_H06-A_card_H05	2	2	1	1.833702802658081	0	0
A_lark_F07-v_luck_F08	2	2	1	1.2131881713867188	0	0
A_bark_H05-v_buck_H08	2	2	1	1.8779098987579346	0	0
v_cut_H07-v_cut_H04	1	1	1	1.5171217918395996	0	0
v_putt_H05-v_putt_H06	1	1	1	1.001345157623291	0	0
v_cud_F07-v_cud_F08	1	1	1	0.8243710994720459	0	0
v_putt_F08-A_part_F04	2	2	1	1.597769021987915	0	0
v_cup_F09-v_cup_F06	1	1	1	1.289273977279663	0	0
v_cup_H07-v_cup_H04	1	1	1	0.6634879112243652	0	0
A_park_F08-A_park_F09	1	1	1	1.252399206161499	0	0
v_cut_F04-A_cart_F09	2	2	1	1.5164060592651367	0	0
A_lark_H05-v_luck_H06	2	2	1	1.0786261558532715	0	0
A_carp_F06-A_carp_F07	1	1	1	1.3787777423858643	0	0
v_tut_F09-v_tut_F07	1	1	1	0.8319501876831055	0	0
v_cud_F08-A_card_F04	2	2	1	1.1644740104675293	0	0
v_luck_H05-v_luck_H04	1	1	1	1.1686079502105713	0	0
v_tut_H07-v_tut_H06	1	1	1	0.7687890529632568	0	0
A_barn_H05-v_bun_H06	2	1	0	0.10085391998291016	1	0
v_cup_H06-A_carp_H05	2	2	1	0.9298899173736572	0	0
A_part_H04-A_part_H09	1	1	1	1.715925931930542	0	0
v_cud_H09-v_cud_H06	1	1	1	0.9908668994903564	0	0

#TotalErreurs#1#TempsTotal#2min 16sec
