#Fri Mar 12 15:37:31 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_kip_F07-i_kip_F08	1	1	1	6.879806041717529	0	0
i_did_H07-i_did_H04	1	1	1	4.983944892883301	0	0
i_sick_F06-I_seek_F05	2	2	1	0.732579231262207	0	0
i_did_F06-I_deed_F09	2	2	1	1.109320878982544	0	0
I_beak_H06-I_beak_H05	1	1	1	1.0190200805664062	0	0
i_sick_F07-i_sick_F08	1	1	1	1.6679596900939941	0	0
i_min_F08-I_mean_F07	2	2	1	1.174530029296875	0	0
I_beak_F08-I_beak_F09	1	1	1	1.0405371189117432	0	0
I_mean_F07-i_min_F04	2	2	1	0.6322300434112549	0	0
i_did_H04-I_deed_H09	2	2	1	0.9528617858886719	0	0
i_chip_F05-i_cheap_F08	1	2	0	1.8470470905303955	1	0
I_peak_H04-I_peak_H07	1	1	1	1.984226942062378	0	0
i_min_F07-i_min_F08	1	1	1	1.396388053894043	0	0
i_pick_F09-i_pick_F07	1	1	1	0.7935490608215332	0	0
I_bean_F09-i_bin_F06	2	2	1	0.9820170402526855	0	0
i_chip_H09-i_cheap_H06	1	1	1	1.62994384765625	0	0
i_lick_F06-I_leak_F08	2	2	1	1.6917088031768799	0	0
i_tick_H08-I_teak_H05	2	2	1	1.3400142192840576	0	0
I_beak_F06-I_beak_F05	1	1	1	1.0908010005950928	0	0
I_mean_H04-I_mean_H09	1	1	1	0.7794210910797119	0	0
i_did_H06-I_deed_H09	2	2	1	0.8282201290130615	0	0
I_keep_H08-I_keep_H06	1	1	1	1.1767637729644775	0	0
I_cheap_H06-I_chip_H07	1	1	1	1.9879510402679443	0	0
I_seek_F05-i_sick_F07	2	2	1	1.5537569522857666	0	0
I_beak_F07-i_bik_F04	2	2	1	3.1806728839874268	0	0
I_beak_H08-I_beak_H09	1	1	1	1.3667609691619873	0	0
I_teak_H08-I_teak_H04	1	1	1	1.4567818641662598	0	0
I_teak_F07-i_tick_F04	2	2	1	1.028097152709961	0	0
i_kip_F05-i_kip_F04	1	1	1	0.5969462394714355	0	0
i_chip_H06-I_chip_H05	2	2	1	0.824167013168335	0	0

#TotalErreurs#1#TempsTotal#2min 28sec
