#Fri Feb 12 23:17:42 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_carp_H08	carp	A	1.5169501304626465	0	1
A_bark_F04	bark	A	1.171766996383667	0	0
v_puck_F08	puck	v	0.9829859733581543	0	0
A_carp_H09	carp	A	1.9350769519805908	0	0
v_cup_F05	cup	v	1.0463590621948242	0	0
v_bun_H06	bun	v	1.074779987335205	1	0
v_putt_F09	putt	v	1.5596799850463867	0	0
A_cart_H05	cart	A	0.6519889831542969	1	1
v_tut_F04	tut	v	1.0735368728637695	0	0
A_card_H09	card	A	1.170673131942749	0	0
v_tut_F08	tut	v	1.7158520221710205	0	0
v_puck_H05	puck	v	0.8486237525939941	0	2
v_tut_H04	tut	v	0.8729989528656006	0	0
A_card_F05	card	A	0.8578441143035889	0	0
v_cut_H04	cut	v	0.8411228656768799	0	0
A_part_H08	part	A	0.9511098861694336	0	0
A_lark_F07	lark	A	1.1066398620605469	1	0
A_park_H04	park	A	0.8350481986999512	0	1
v_putt_H05	putt	v	0.8104279041290283	0	0
v_cut_F09	cut	v	1.0635688304901123	0	0
v_cut_H07	cut	v	1.74714994430542	0	0
v_luck_F05	luck	v	1.1547110080718994	0	0
A_lark_H06	lark	A	1.1220388412475586	0	0
A_mart_F07	mart	A	1.217426061630249	0	0
v_bun_H07	bun	v	1.5595550537109375	0	0
A_bark_F08	bark	A	1.0085837841033936	0	1
v_buck_F08	buck	v	1.1070787906646729	0	0
A_card_F07	card	A	1.0910701751708984	0	0
v_cup_H08	cup	v	0.9275112152099609	0	0
v_cup_F08	cup	v	0.7242488861083984	0	1

#TotalErreurs#3TempsTotal#1min 40sec
