#Sat Apr 03 14:18:39 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_buck_H04	buck	v	2.682427167892456	0	0
v_tut_H05	tut	v	1.5467159748077393	0	0
A_park_F08	park	A	1.155522108078003	0	0
v_bun_F04	bun	v	0.8892331123352051	0	0
v_cup_F05	cup	v	0.8288848400115967	0	0
A_lark_H08	lark	A	1.090757131576538	0	0
v_mutt_F07	mutt	v	0.8284358978271484	0	0
A_cart_F04	cart	A	0.8310019969940186	0	0
A_lark_F04	lark	A	0.7832169532775879	0	0
A_park_F09	park	A	0.7700541019439697	0	0
A_park_F05	park	A	0.7458450794219971	0	0
v_luck_F04	luck	v	0.6957659721374512	0	0
v_mutt_H06	mutt	v	0.747901201248169	0	0
v_mutt_H07	mutt	v	0.747657060623169	0	0
v_putt_H08	putt	v	0.7679798603057861	0	0
v_cup_H07	cup	v	0.6855270862579346	0	0
v_tut_H08	tut	v	0.6926190853118896	0	0
A_barn_F09	barn	A	0.8603479862213135	0	0
v_luck_F09	luck	v	0.7167673110961914	0	0
v_puck_H04	puck	v	0.6900632381439209	0	0
v_cup_F09	cup	v	0.6858870983123779	0	0
A_lark_H06	lark	A	1.201164722442627	0	0
A_part_H04	part	A	0.6006948947906494	0	0
v_puck_F06	puck	v	0.7166728973388672	0	0
v_bun_H06	bun	v	0.9512107372283936	0	0
v_cup_F08	cup	v	0.7172348499298096	0	0
v_cud_F07	cud	v	0.7633700370788574	0	0
A_park_H07	park	A	0.685715913772583	0	0
v_cup_F04	cup	v	0.7812931537628174	0	0
A_lark_H05	lark	A	0.9511029720306396	0	0

#TotalErreurs#0TempsTotal#1min 13sec
