#Sat Mar 06 23:25:31 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_barn_F06	barn	A	1.4254510402679443	0	0
v_cud_F07	cud	v	1.7809479236602783	0	0
A_barn_H04	barn	A	1.4117097854614258	0	0
v_tut_H04	tut	v	2.161468029022217	0	0
v_bun_H09	bun	v	0.37268972396850586	1	1
A_park_H08	park	A	1.0182139873504639	0	0
v_luck_F07	luck	v	0.857158899307251	0	0
v_tut_F05	tut	v	1.2020151615142822	0	0
A_carp_F08	carp	A	1.1241490840911865	0	0
v_buck_F06	buck	v	0.9814987182617188	0	0
v_tut_H05	tut	v	1.0457677841186523	0	0
v_bun_F06	bun	v	1.5759789943695068	0	0
A_mart_F09	mart	A	0.9815499782562256	0	0
A_bark_F07	bark	A	1.0302438735961914	0	0
v_luck_H06	luck	v	0.8412389755249023	0	0
A_bark_H05	bark	A	1.2027068138122559	0	0
v_bun_F05	bun	v	0.4181849956512451	1	0
A_card_H06	card	A	0.9227702617645264	0	0
A_cart_H05	cart	A	0.07564282417297363	1	1
v_puck_H04	puck	v	0.8246049880981445	0	0
A_barn_F07	barn	A	1.0769894123077393	0	0
v_cup_H08	cup	v	0.9198458194732666	0	0
A_cart_F05	cart	A	0.9822518825531006	0	0
v_mutt_F09	mutt	v	1.2246699333190918	0	0
v_mutt_F08	mutt	v	1.3494048118591309	0	0
v_puck_F08	puck	v	0.7803521156311035	1	0
v_tut_F04	tut	v	2.0921220779418945	0	0
A_barn_F04	barn	A	0.8793950080871582	0	0
v_bun_F09	bun	v	0.46555399894714355	1	0
A_tart_H05	tart	A	0.980443000793457	0	0

#TotalErreurs#5TempsTotal#1min 37sec
