Sat Apr 17 01:04:04 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_lick_H05	lick	i	i	5.951161861419678	0	0
I_leak_H07	leak	I	I	3.857142925262451	0	0
A_mart_H04	mart	A	A	1.9661049842834473	0	0
A_lark_H04	lark	A	A	0.7814779281616211	0	0
I_leak_F08	leak	I	I	3.1471548080444336	0	0
I_cheap_F09	cheap	I	I	0.7949471473693848	0	0
i_lick_H04	lick	i	i	3.171450138092041	0	0
I_cheap_H06	cheap	I	I	2.153714179992676	0	0
I_beak_F05	beak	I	I	0.758538007736206	0	0
I_cheap_H04	cheap	I	I	1.0284600257873535	0	0
a_lack_H06	lack	a	a	1.7205219268798828	0	0
i_min_H09	min	i	i	1.5083379745483398	0	0
a_pat_H09	pat	a	a	1.1258759498596191	0	0
I_mean_F08	mean	I	I	1.2670750617980957	0	0
A_part_F07	part	A	A	1.7003757953643799	0	0
v_buck_H07	buck	v	v	0.9441318511962891	0	0
v_mutt_H09	mutt	v	v	0.8656117916107178	0	0
v_luck_F05	luck	v	v	1.0443458557128906	0	0
i_bik_H04	bik	i	i	1.256119728088379	0	0
a_back_H06	back	a	a	1.061776876449585	0	0
I_cheap_F06	cheap	I	I	1.7629878520965576	0	0
a_cap_H05	cap	a	a	1.2784390449523926	0	0
v_buck_H06	buck	v	v	0.9711952209472656	0	0
A_mart_H06	mart	A	A	1.444314956665039	0	0
a_back_H04	back	a	a	1.3273208141326904	0	0
i_min_H07	min	i	i	1.4081988334655762	0	0
v_luck_F07	luck	v	v	1.0857670307159424	0	0
I_mean_H07	mean	I	I	2.811608076095581	0	0
A_lark_F09	lark	A	A	1.3591842651367188	0	0
A_carp_H04	carp	A	A	0.7632367610931396	0	0

#TotalErreurs#0#TempsTotal#1min 37sec
