#Fri Feb 19 23:13:54 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cud_H08-a_cad_H04	2	2	1	1.4218647480010986	0	2
a_back_F05-v_buck_F08	2	2	1	0.5156219005584717	0	1
a_pat_H05-v_putt_H06	2	2	1	0.4531221389770508	0	0
v_bun_H04-a_ban_H09	2	2	1	1.7031137943267822	0	0
a_cat_F08-a_cat_F05	1	1	1	0.3593721389770508	0	0
a_cad_H07-v_cud_H09	2	2	1	0.5781219005584717	0	0
a_ban_H05-v_bun_H06	2	1	0	0.3437478542327881	1	0
a_pat_H07-v_putt_H04	2	1	0	0.6249957084655762	1	1
v_luck_F06-a_lack_F04	2	2	1	0.6406219005584717	0	1
a_tat_F05-v_tut_F04	2	1	0	0.2499980926513672	1	1
a_tat_F04-a_tat_F08	1	1	1	0.8593690395355225	0	0
a_back_H05-v_buck_H08	2	2	1	0.2499990463256836	0	2
v_luck_H06-a_lack_H04	2	2	1	0.953117847442627	0	0
v_luck_H07-v_luck_H09	1	1	1	0.17187285423278809	0	3
a_pat_H06-a_pat_H05	1	1	1	0.7031199932098389	0	0
a_ban_H07-v_bun_H09	2	2	1	1.0624938011169434	0	0
v_tut_H09-v_tut_H07	1	1	1	0.6093699932098389	0	0
a_cap_H09-v_cup_H08	2	2	1	1.0624918937683105	0	1
v_buck_F07-v_buck_F08	1	2	0	0.3593709468841553	1	0
v_luck_F04-a_lack_F05	2	2	1	0.2343730926513672	0	0
v_puck_F08-a_pack_F07	2	2	1	0.5156211853027344	0	0
v_cud_F04-a_cad_F07	2	1	0	0.0312502384185791	1	0
a_cad_F06-a_cad_F07	1	2	0	0.2656209468841553	1	0
v_cut_H05-v_cut_H07	1	1	1	0.4218721389770508	0	2
v_tut_H05-v_tut_H08	1	1	1	0.4999959468841553	0	0
v_luck_H08-a_lack_H09	2	2	1	0.4531230926513672	0	0
a_back_F07-v_buck_F04	2	1	0	0.06249809265136719	1	0
v_cud_H04-a_cad_H07	2	2	1	0.4374969005584717	0	0
a_lack_H05-v_luck_H06	2	1	0	0.4374971389770508	1	0
v_puck_H06-a_pack_H08	2	2	1	0.031250953674316406	0	1

#TotalErreurs#8#TempsTotal#7min 33sec
