#Sat Mar 06 23:17:28 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_lark_F04-A_lark_F09	1	1	1	0.4843719005584717	0	1
A_carp_F05-v_cup_F07	2	2	1	1.4062418937683105	0	0
v_cut_F08-A_cart_F05	2	2	1	0.2187488079071045	0	0
v_mutt_F06-A_mart_F05	2	2	1	0.4999969005584717	0	0
A_card_F09-v_cud_F06	2	2	1	0.1093742847442627	0	0
A_lark_H08-A_lark_H09	1	2	0	0.6562459468841553	1	0
v_putt_F07-v_putt_F09	1	2	0	0.20312285423278809	1	0
A_mart_F09-v_mutt_F05	2	1	0	0.9374938011169434	1	0
A_part_H05-v_putt_H06	2	2	1	0.09374880790710449	0	1
v_cud_F05-v_cud_F04	1	1	1	0.4843709468841553	0	0
A_barn_F08-A_barn_F05	1	2	0	1.0312440395355225	1	0
v_mutt_H07-v_mutt_H08	1	2	0	0.6718699932098389	1	0
A_bark_H07-v_buck_H04	2	2	1	0.3749969005584717	0	0
v_mutt_H06-A_mart_H05	2	1	0	0.24999785423278809	1	0
A_mart_H05-v_mutt_H07	2	2	1	0.3906230926513672	0	0
A_tart_H08-A_tart_H04	1	1	1	0.3124971389770508	0	0
v_tut_F08-A_tart_F05	2	1	0	0.2968723773956299	1	0
v_cup_F09-v_cup_F06	1	1	1	0.999993085861206	0	0
v_bun_H09-v_bun_H07	1	2	0	0.0312497615814209	1	0
A_carp_H08-A_carp_H07	1	1	1	0.2656219005584717	0	0
v_mutt_H04-A_mart_H07	2	2	1	0.6093719005584717	0	0
v_bun_H06-A_barn_H07	2	1	0	0.2031240463256836	1	0
v_cup_F05-v_cup_F08	1	1	1	0.6093707084655762	0	0
A_park_H07-v_puck_H04	2	2	1	0.4999969005584717	0	0
A_part_H09-v_putt_H04	2	1	0	0.1718740463256836	1	0
v_buck_H05-v_buck_H09	1	1	1	0.4374961853027344	0	0
A_cart_H07-v_cut_H05	2	2	1	0.3124969005584717	0	0
v_luck_H04-A_lark_H05	2	1	0	0.18749690055847168	1	0
v_cup_H05-v_cup_H08	1	1	1	0.2656228542327881	0	0
v_luck_H09-v_luck_H06	1	1	1	0.1718738079071045	0	0

#TotalErreurs#11#TempsTotal#2min 21sec
