#Sat Apr 10 20:07:50 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_bark_F04	bark	A	1.114131212234497	0	1
v_putt_H04	putt	v	1.269623041152954	0	0
A_park_F08	park	A	0.8569290637969971	1	0
v_luck_H04	luck	v	1.2214488983154297	0	0
v_tut_H05	tut	v	1.2335970401763916	0	0
A_mart_F05	mart	A	1.2093157768249512	0	0
A_bark_H08	bark	A	1.4315390586853027	0	0
v_puck_F09	puck	v	3.032118082046509	0	0
v_puck_F08	puck	v	0.945817232131958	0	0
A_tart_F04	tart	A	1.4103670120239258	0	0
v_buck_F08	buck	v	1.3827011585235596	0	0
A_lark_F05	lark	A	1.553102731704712	0	0
A_card_F06	card	A	0.99900221824646	0	0
v_mutt_F05	mutt	v	1.9823863506317139	0	0
A_bark_F08	bark	A	1.4062469005584717	0	0
v_cud_H07	cud	v	1.9052369594573975	0	0
A_card_H09	card	A	1.29911208152771	0	0
v_tut_H06	tut	v	1.3789329528808594	0	0
v_cud_F08	cud	v	1.3935329914093018	0	0
A_cart_H09	cart	A	1.6354069709777832	0	0
v_puck_H06	puck	v	1.501758098602295	0	0
A_mart_H07	mart	A	1.5769989490509033	0	0
v_tut_F05	tut	v	1.1132972240447998	0	0
A_carp_H04	carp	A	1.4319980144500732	0	0
v_mutt_H07	mutt	v	0.7571051120758057	1	0
A_park_F05	park	A	1.429882287979126	0	0
A_mart_F08	mart	A	3.3900208473205566	0	1
v_buck_H07	buck	v	0.8245730400085449	1	1
A_barn_F06	barn	A	1.1722300052642822	0	1
A_lark_F09	lark	A	1.4295728206634521	0	0

#TotalErreurs#3TempsTotal#1min 56sec
