#Tue Mar 09 10:59:57 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_pack_H08	pack	a	3.476749897003174	0	0
v_luck_F06	luck	v	1.6584680080413818	0	0
a_lack_F07	lack	a	1.6672430038452148	0	0
v_buck_F07	buck	v	1.4248950481414795	0	0
v_putt_F04	putt	v	1.3980560302734375	0	0
v_luck_H07	luck	v	2.108531951904297	0	0
v_mutt_H04	mutt	v	2.00226092338562	1	0
a_mat_H08	mat	a	1.7011992931365967	0	0
v_buck_F09	buck	v	1.4902520179748535	0	0
v_mutt_H09	mutt	v	1.5784680843353271	0	0
a_cap_F07	cap	a	1.6335041522979736	0	0
v_bun_H04	bun	v	1.2880382537841797	0	0
a_back_H06	back	a	1.5424010753631592	0	0
a_tat_H09	tat	a	1.2963588237762451	0	0
v_cut_H04	cut	v	1.253511905670166	0	0
a_tat_H07	tat	a	1.3330790996551514	0	0
a_mat_F05	mat	a	1.395585060119629	0	0
a_cad_F08	cad	a	0.5214250087738037	0	0
a_cad_H09	cad	a	1.321065902709961	0	0
v_cup_F05	cup	v	1.3630940914154053	0	0
v_luck_H05	luck	v	1.3294079303741455	0	0
a_mat_F08	mat	a	1.3532452583312988	0	0
v_mutt_F06	mutt	v	1.5658490657806396	0	0
a_mat_F04	mat	a	1.3165309429168701	0	0
v_cup_F04	cup	v	1.827124834060669	0	0
v_cup_H07	cup	v	1.2715649604797363	0	0
v_luck_F08	luck	v	1.2951951026916504	0	0
v_cut_H05	cut	v	1.5936830043792725	0	0
a_cap_H07	cap	a	1.2988002300262451	0	0
a_ban_H04	ban	a	1.7099807262420654	0	0

#TotalErreurs#1TempsTotal#1min 39sec
