#Tue Mar 09 11:01:42 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_card_F07	card	A	2.0053110122680664	0	0
v_putt_H06	putt	v	1.6858749389648438	0	0
A_mart_F09	mart	A	1.96421217918396	0	0
A_carp_H05	carp	A	2.0207889080047607	0	0
v_cup_F08	cup	v	1.7630391120910645	0	0
v_tut_F07	tut	v	1.2466402053833008	0	0
A_part_H08	part	A	1.5564889907836914	0	0
A_barn_F07	barn	A	1.348625898361206	0	0
A_lark_F08	lark	A	1.2792062759399414	0	0
A_carp_F08	carp	A	1.3174729347229004	0	0
v_buck_F08	buck	v	1.169959306716919	0	0
v_luck_F04	luck	v	1.3407869338989258	0	0
A_barn_F06	barn	A	1.3156700134277344	0	0
A_bark_H07	bark	A	1.6098120212554932	0	0
A_card_F05	card	A	1.5496389865875244	0	0
v_buck_H09	buck	v	1.3094720840454102	0	0
v_cud_F05	cud	v	1.678009033203125	0	0
A_cart_F06	cart	A	1.2267940044403076	0	0
v_puck_H06	puck	v	2.3634378910064697	0	0
A_part_H09	part	A	1.1181340217590332	0	0
v_cup_F07	cup	v	1.3263018131256104	0	0
A_mart_F08	mart	A	1.3778741359710693	0	0
v_putt_F07	putt	v	1.3492119312286377	0	0
A_barn_F04	barn	A	1.3854269981384277	0	0
A_lark_H09	lark	A	1.384699821472168	0	0
A_card_F06	card	A	1.4406139850616455	0	0
A_card_F08	card	A	1.420788049697876	0	0
v_bun_H06	bun	v	1.3611738681793213	0	0
v_puck_H05	puck	v	0.4669499397277832	1	0
v_puck_H04	puck	v	0.5597410202026367	0	0

#TotalErreurs#1TempsTotal#1min 33sec
