Sat Apr 17 12:01:37 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
a_cap_H04	cap	a	a	3.0350210666656494	0	0
i_min_H05	min	i	i	3.151885986328125	0	0
A_bark_H09	bark	A	A	1.9765079021453857	0	0
v_cup_F05	cup	v	v	1.5118837356567383	0	0
A_mart_H09	mart	A	A	1.5232758522033691	0	0
a_cap_H06	cap	a	a	1.667893886566162	0	0
v_cup_H06	cup	v	v	1.4792389869689941	0	0
A_lark_F05	lark	A	A	1.7377350330352783	0	0
A_mart_F09	mart	A	A	1.5560660362243652	0	0
v_putt_F08	putt	v	v	1.5059840679168701	0	0
A_bark_F06	bark	A	A	1.6796820163726807	0	0
a_lack_F08	lack	a	a	1.8243038654327393	0	0
i_bik_F06	bik	i	i	2.302063226699829	0	0
v_cup_F09	cup	v	v	2.4430060386657715	0	0
a_cap_H07	cap	a	a	1.646601915359497	0	0
I_beak_F06	beak	I	I	1.9565961360931396	0	0
A_mart_F04	mart	A	A	2.1412289142608643	0	0
v_luck_F06	luck	v	v	1.6448776721954346	0	0
a_lack_H04	lack	a	a	1.803431749343872	0	0
v_luck_F05	luck	v	v	1.6355457305908203	0	0
i_lick_F08	lick	i	i	2.4068350791931152	0	0
i_lick_F09	lick	i	i	3.1005520820617676	0	0
i_lick_H05	lick	i	i	2.244335174560547	0	0
I_bean_H06	bean	I	I	1.8078579902648926	0	0
v_mutt_F08	mutt	v	v	1.7327301502227783	0	0
a_back_H07	back	a	a	1.5788707733154297	0	0
a_mat_H09	mat	a	a	1.610841989517212	0	0
i_min_F04	min	i	i	1.9640660285949707	0	0
a_lack_H06	lack	a	a	1.8264291286468506	0	0
I_mean_F08	mean	I	I	2.217473030090332	0	0

#TotalErreurs#0#TempsTotal#1min 48sec
