#Sun Feb 28 21:14:57 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_bun_F04-a_ban_F09	2	2	1	1.6735413074493408	0	0
a_tat_H09-v_tut_H05	2	2	1	0.7980637550354004	0	0
a_cat_H07-v_cut_H05	2	2	1	1.6486530303955078	0	0
v_cut_F08-a_cat_F05	2	2	1	5.209341049194336	0	0
a_cap_F06-a_cap_F07	1	1	1	1.6788201332092285	0	0
v_putt_F06-a_pat_F07	2	2	1	0.5835809707641602	0	0
v_luck_F08-a_lack_F09	2	2	1	2.3287878036499023	0	0
v_buck_F08-a_back_F07	2	2	1	1.2859747409820557	0	0
a_pat_H04-a_pat_H09	1	1	1	0.8732800483703613	0	0
a_tat_F09-v_tut_F05	2	2	1	1.1321637630462646	0	0
a_pack_H05-v_puck_H09	2	2	1	1.3583097457885742	0	0
v_buck_H05-v_buck_H09	1	2	0	0.04957079887390137	1	0
a_lack_F09-v_luck_F06	2	2	1	0.955847978591919	0	0
v_cud_H04-a_cad_H07	2	2	1	1.8185689449310303	0	0
v_luck_F05-v_luck_F04	1	1	1	0.5289211273193359	0	0
a_back_H04-a_back_H09	1	1	1	0.4642951488494873	0	0
a_mat_H09-v_mutt_H05	2	2	1	0.9620070457458496	0	0
a_cad_F05-v_cud_F04	2	2	1	0.710982084274292	0	0
a_cad_H08-a_cad_H06	1	1	1	1.1053729057312012	0	0
a_ban_H07-v_bun_H09	2	2	1	0.8627798557281494	0	0
a_pack_F09-v_puck_F08	2	2	1	0.8573498725891113	0	0
a_back_H08-a_back_H06	1	1	1	0.6877391338348389	0	0
v_cut_F07-v_cut_F04	1	2	0	0.32269906997680664	1	0
v_cup_H09-v_cup_H06	1	1	1	0.4844660758972168	0	0
a_cat_H09-v_cut_H07	2	2	1	0.9430928230285645	0	0
a_cat_F06-a_cat_F09	1	1	1	0.3706169128417969	0	0
v_cup_H08-a_cap_H06	2	2	1	0.5924620628356934	0	0
v_puck_F09-v_puck_F08	1	1	1	1.3472847938537598	0	0
v_mutt_F06-a_mat_F05	2	2	1	0.4448418617248535	0	0
v_buck_H07-v_buck_H08	1	1	1	0.42342615127563477	0	0

#TotalErreurs#2#TempsTotal#2min 51sec
