#Sun Feb 21 21:53:25 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_mutt_F08-A_mart_F09	2	2	1	2.3534812927246094	0	0
v_buck_H09-v_buck_H04	1	1	1	2.2957708835601807	0	0
v_buck_F05-v_buck_F09	1	1	1	0.7612819671630859	0	0
v_buck_H07-v_buck_H08	1	1	1	0.47109293937683105	0	0
A_lark_F09-v_luck_F06	2	2	1	1.219499111175537	0	0
v_putt_F04-A_part_F06	2	2	1	0.5399937629699707	0	0
A_barn_H08-A_barn_H05	1	1	1	0.8142268657684326	0	0
v_tut_F05-v_tut_F08	1	2	0	0.1402587890625	1	0
v_cut_F06-A_cart_F09	2	2	1	1.1077618598937988	0	0
A_barn_H07-v_bun_H09	2	2	1	1.561579942703247	0	0
v_luck_H08-A_lark_H09	2	2	1	1.439291000366211	0	0
v_putt_F09-v_putt_F08	1	1	1	1.3224008083343506	0	0
v_puck_F08-A_park_F07	2	2	1	1.2675471305847168	0	0
v_putt_H08-A_part_H04	2	2	1	1.7040388584136963	0	0
v_cud_H07-v_cud_H08	1	1	1	1.114121913909912	0	0
v_cup_F04-A_carp_F05	2	2	1	1.1950058937072754	0	0
v_putt_H06-A_part_H07	2	2	1	1.0682859420776367	0	0
A_bark_F07-v_buck_F04	2	2	1	1.274402141571045	0	0
v_cup_H06-A_carp_H05	2	2	1	3.293781042098999	0	0
A_card_H06-A_card_H07	1	1	1	0.8915619850158691	0	0
A_mart_F09-v_mutt_F05	2	2	1	1.1504290103912354	0	0
v_mutt_F06-A_mart_F05	2	2	1	1.0238068103790283	0	0
A_park_H08-A_park_H09	1	1	1	0.5065567493438721	0	0
A_mart_F07-v_mutt_F09	2	2	1	1.1939828395843506	0	0
A_card_H07-v_cud_H09	2	2	1	0.7199611663818359	0	0
A_part_H09-v_putt_H04	2	2	1	1.27492094039917	0	0
v_cud_F08-A_card_F04	2	2	1	0.889606237411499	0	0
A_lark_H07-v_luck_H08	2	2	1	0.8613743782043457	0	0
A_part_F05-v_putt_F06	2	2	1	0.9791061878204346	0	0
A_mart_F06-A_mart_F05	1	1	1	4.332583904266357	0	0

#TotalErreurs#1#TempsTotal#2min 51sec
