#Sun Feb 28 21:20:38 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_peak_H07-i_pick_H09	2	2	1	0.8523719310760498	0	0
i_lick_F08-I_leak_F07	2	2	1	3.1435961723327637	0	0
i_min_F09-i_min_F04	1	1	1	1.2335093021392822	0	0
I_beak_H07-i_bik_H04	2	2	1	0.40956807136535645	0	0
I_peak_F05-i_pick_F06	2	2	1	0.8454821109771729	0	0
i_chip_H04-I_chip_H05	2	1	0	0.26920390129089355	1	0
I_keep_F05-i_kip_F04	2	2	1	0.9620850086212158	0	0
i_did_F09-i_did_F04	1	1	1	0.9489147663116455	0	0
I_mean_H08-I_mean_H06	1	1	1	1.2600607872009277	0	0
i_chip_H09-i_cheap_H06	1	2	0	0.6480851173400879	1	0
i_tick_F04-I_teak_F07	2	2	1	0.6655302047729492	0	0
i_tick_H06-I_teak_H09	2	2	1	0.08860373497009277	0	0
I_cheap_H06-I_chip_H07	1	2	0	0.1440579891204834	1	0
I_deed_H07-i_did_H05	2	2	1	0.8941650390625	0	0
i_bik_F09-i_bik_F08	1	1	1	0.9860448837280273	0	0
i_bin_F07-i_bin_F09	1	1	1	0.48244690895080566	0	0
I_seek_H09-i_sick_H05	2	2	1	0.33023500442504883	0	0
I_seek_H07-i_sick_H09	2	2	1	0.991023063659668	0	0
I_keep_H05-i_kip_H04	2	2	1	1.3063910007476807	0	0
i_lick_H07-i_lick_H08	1	1	1	0.8832173347473145	0	0
i_did_F04-I_deed_F09	2	2	1	1.3279109001159668	0	0
i_kip_H06-I_keep_H05	2	2	1	1.717411994934082	0	0
I_leak_F09-i_lick_F08	2	2	1	0.9218077659606934	0	0
i_sick_H04-I_seek_H07	2	2	1	1.246366024017334	0	0
I_leak_H04-I_leak_H06	1	1	1	1.2827930450439453	0	0
i_did_F05-i_did_F07	1	1	1	1.3336141109466553	0	0
i_sick_F05-i_sick_F04	1	1	1	2.2403030395507812	0	0
I_keep_H07-i_kip_H09	2	2	1	0.6884100437164307	0	0
I_mean_F09-i_min_F07	2	2	1	1.199920892715454	0	0
i_lick_F04-I_leak_F07	2	2	1	1.2681200504302979	0	0

#TotalErreurs#3#TempsTotal#2min 46sec
