#Mon May 03 10:30:10 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_lark_H04-A_lark_H09	1	1	1	2.2009029388427734	0	0
v_mutt_F06-A_mart_F05	2	2	1	1.6922008991241455	0	0
v_tut_H06-A_tart_H09	2	2	1	9.0105459690094	0	0
v_mutt_H08-A_mart_H09	2	2	1	1.0031189918518066	0	0
A_card_F07-v_cud_F09	2	2	1	35.04446482658386	0	0
v_buck_H07-v_buck_H08	1	1	1	2.3117899894714355	0	0
A_part_H08-A_part_H09	1	1	1	14.344006299972534	0	0
v_bun_F05-v_bun_F08	1	1	1	1.1549098491668701	0	0
v_luck_H06-A_lark_H04	2	2	1	1.6330180168151855	0	0
v_luck_F09-v_luck_F06	1	1	1	7.426193952560425	0	0
v_tut_H05-v_tut_H08	1	1	1	1.3784189224243164	0	0
v_cup_F06-A_carp_F05	2	2	1	1.3799469470977783	0	0
v_luck_H04-A_lark_H05	2	2	1	1.1720099449157715	0	0
A_card_H08-A_card_H06	1	1	1	3.319614887237549	0	0
A_tart_F04-A_tart_F08	1	1	1	1.6265380382537842	0	0
A_lark_F05-v_luck_F06	2	2	1	1.1900410652160645	0	0
A_mart_F06-A_mart_F05	1	1	1	3.8765077590942383	0	0
A_mart_H05-v_mutt_H07	2	2	1	12.48523497581482	0	0
v_bun_F08-A_barn_F06	2	2	1	14.715312957763672	0	0
v_cup_H04-A_carp_H05	2	2	1	16.202698230743408	0	0
A_cart_F08-A_cart_F05	1	1	1	1.055393934249878	0	0
v_mutt_H07-v_mutt_H08	1	1	1	5.014946699142456	0	0
A_barn_F08-A_barn_F05	1	1	1	0.9476830959320068	0	0
A_bark_H07-v_buck_H04	2	2	1	9.378132343292236	0	0
A_barn_H05-v_bun_H06	2	2	1	1.5329768657684326	0	0
A_barn_F07-v_bun_F09	2	2	1	7.831467151641846	0	0
A_park_H09-v_puck_H08	2	2	1	12.111899852752686	0	0
v_luck_F07-v_luck_F09	1	1	1	7.389437913894653	0	0
v_bun_H04-A_barn_H09	2	2	1	1.966325044631958	0	0
v_mutt_H06-A_mart_H05	2	2	1	1.366760015487671	0	0

#TotalErreurs#0#TempsTotal#7min 52sec
