#Wed May 05 12:12:39 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_back_H06	back	a	0.91520211531315	1	1
a_mat_F06	mat	a	1.1152008983772248	0	0
v_tut_H07	tut	v	1.0316020641475916	0	0
v_puck_H06	puck	v	1.0888011161005124	0	0
v_mutt_F05	mutt	v	0.8824010111857206	1	0
a_cap_F04	cap	a	0.9988019794691354	0	0
v_puck_F04	puck	v	1.4680030808085576	0	0
a_lack_F05	lack	a	1.1200018897652626	0	0
v_cut_F07	cut	v	1.150402054656297	0	0
v_bun_H09	bun	v	1.0020009434083477	0	0
v_mutt_H06	mutt	v	1.9812030245084316	0	0
a_ban_F09	ban	a	1.3864020735491067	0	0
v_tut_F08	tut	v	1.2760019352426752	0	0
a_mat_F07	mat	a	0.9184019627282396	0	0
v_cup_H05	cup	v	0.9164018837036565	0	0
a_cat_H06	cat	a	1.2872019783826545	0	0
a_pat_F05	pat	a	0.9648019744781777	0	0
a_cap_F07	cap	a	0.973818042082712	0	0
v_buck_H06	buck	v	1.051202094182372	0	0
a_pack_H07	pack	a	1.738402959308587	0	0
a_ban_F07	ban	a	1.5824020735453814	0	0
v_puck_F07	puck	v	0.9008019726024941	0	0
v_putt_F08	putt	v	1.3676029191119596	0	0
a_back_F09	back	a	1.1356020054081455	0	0
v_luck_F09	luck	v	1.1576019657077268	0	0
v_buck_F06	buck	v	0.9984010562766343	0	0
v_cud_H06	cud	v	1.0004170874599367	0	0
v_putt_H04	putt	v	0.8192018960835412	1	0
a_cat_F05	cat	a	1.070002065738663	0	0
a_ban_H05	ban	a	0.5388008914887905	1	1

#TotalErreurs#4TempsTotal#1min 39sec
