Thu Apr 29 11:41:47 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
a_cat_H09	cat	a	a	1.5320019036298618	0	0
I_keep_F06	keep	I	I	1.246802025823854	0	0
I_deed_H05	deed	I	I	1.3456180964130908	0	0
I_keep_H04	keep	I	I	1.6920030107721686	0	0
A_card_H09	card	A	A	1.4040018889354542	0	0
I_peak_F08	peak	I	i	0.8604019019985572	1	0
A_tart_F05	tart	A	A	1.277603081194684	0	0
a_cad_H05	cad	a	a	1.2180020137457177	0	0
A_barn_H09	barn	A	A	1.0828019744949415	0	1
I_seek_F08	seek	I	I	2.1004029089817777	0	0
I_deed_H04	deed	I	I	1.1504021026194096	0	0
v_bun_H07	bun	v	v	1.9596030234824866	0	1
a_tat_H05	tat	a	a	1.3128020805306733	0	0
a_pack_H07	pack	a	a	1.090802098507993	0	0
i_tick_F05	tick	i	i	1.7452030217973515	0	0
a_cat_H06	cat	a	a	1.58360289351549	0	0
i_sick_F07	sick	i	i	1.8820040702121332	0	0
i_pick_F07	pick	i	i	1.1940019250614569	0	0
i_kip_H09	kip	i	i	1.2340019358089194	0	0
v_puck_F08	puck	v	v	1.8912030865903944	0	0
v_tut_H08	tut	v	v	2.2888040498364717	0	0
a_cad_F07	cad	a	a	1.3716029069619253	0	0
v_puck_F09	puck	v	v	1.0408020921749994	0	1
A_barn_F07	barn	A	A	1.1408019338268787	0	0
A_tart_F07	tart	A	A	1.313601950998418	0	0
I_peak_F06	peak	I	I	1.435202108696103	0	0
I_peak_F04	peak	I	I	1.1080018922220916	0	1
a_cat_H04	cat	a	a	1.1954019470140338	0	0
A_tart_H07	tart	A	A	1.5384019298944622	0	0
I_keep_H07	keep	I	I	1.3980019777081907	0	0

#TotalErreurs#1#TempsTotal#1min 46sec
