#Wed Mar 24 18:32:40 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_tart_F09-v_tut_F05	2	2	1	1.4028021061094478	0	1
A_lark_F08-A_lark_F09	1	1	1	1.2836030275793746	0	0
v_cup_H05-v_cup_H08	1	1	1	0.18599993269890547	0	0
v_tut_F06-A_tart_F09	2	1	0	0.10800003295298666	1	1
A_part_F08-A_part_F09	1	2	0	0.029999978956766427	1	2
A_part_F09-v_putt_F04	2	2	1	0.019999971031211317	0	1
v_mutt_H05-v_mutt_H04	1	1	1	0.34200005198363215	0	0
A_card_H07-v_cud_H09	2	1	0	0.07680003519635648	1	0
v_cud_F07-v_cud_F08	1	1	1	0.35760093783028424	0	0
v_cut_F04-A_cart_F09	2	1	0	0.045600111479870975	1	0
v_buck_F08-A_bark_F07	2	1	0	0.8568021043902263	1	1
v_buck_H06-A_bark_H08	2	2	1	0.8880010036518797	0	1
v_bun_F09-v_bun_F07	1	1	1	0.6696010761661455	0	1
v_puck_H05-v_puck_H06	1	1	1	1.3404030873207375	0	0
A_lark_H06-A_lark_H05	1	1	1	0.6540010665776208	0	0
v_luck_F08-A_lark_F09	2	1	0	0.04559995816089213	1	0
v_puck_F06-A_park_F08	2	1	0	0.5448010480031371	1	1
A_cart_F09-v_cut_F07	2	1	0	0.12360108247958124	1	0
v_luck_H07-v_luck_H09	1	1	1	0.17040006327442825	0	0
A_carp_F05-v_cup_F07	2	2	1	0.6502170973690227	0	2
A_bark_H07-v_buck_H04	2	2	1	0.560400977730751	0	0
v_luck_H06-A_lark_H04	2	1	0	0.06119988614227623	1	0
A_tart_H09-v_tut_H05	2	1	0	0.2483998858369887	1	0
v_tut_H05-v_tut_H08	1	2	0	0.20160006289370358	1	1
v_buck_F07-v_buck_F08	1	2	0	0.2172009889036417	1	2
v_buck_H08-A_bark_H07	2	2	1	2.1516039529815316	0	0
v_cup_H07-v_cup_H04	1	1	1	0.669601041241549	0	0
A_tart_H07-v_tut_H04	2	2	1	0.2639999180100858	0	1
A_card_F06-A_card_F07	1	1	1	0.6384010870242491	0	0
v_tut_F07-v_tut_F06	1	1	1	0.9036020493367687	0	0

#TotalErreurs#12#TempsTotal#3min 11sec
