#Thu Apr 29 11:29:01 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_tick_H04-I_teak_H07	2	2	1	0.5604010026436299	0	0
I_cheap_H09-i_cheap_H08	2	1	0	0.030000055790878832	1	0
i_sick_H04-I_seek_H07	2	2	1	0.76320200052578	0	0
i_pick_H04-I_peak_H09	2	2	1	1.246802038163878	0	0
I_deed_F08-I_deed_F05	1	1	1	0.46680102311074734	0	0
i_lick_F08-I_leak_F07	2	2	1	0.7164010930573568	0	0
i_min_F08-I_mean_F07	2	2	1	3.150005008559674	0	0
I_cheap_H06-I_chip_H07	1	1	1	0.9036010439740494	0	0
I_leak_H06-I_leak_H05	1	2	0	1.3872020150301978	1	2
i_did_H09-i_did_H04	1	1	1	0.5760010033845902	0	0
I_keep_F08-I_keep_F06	1	2	0	1.2000019781989977	1	1
I_teak_F06-I_teak_F08	1	1	1	0.9504010115051642	0	0
I_beak_H08-I_beak_H09	1	1	1	2.1984040600946173	0	0
i_bin_H04-I_bean_H05	2	2	1	3.02520591346547	0	0
I_cheap_F09-i_cheap_F08	2	1	0	0.18599999032448977	1	0
I_keep_F09-i_kip_F06	2	2	1	2.6508040266344324	0	0
i_kip_F09-i_kip_F06	1	1	1	0.482399923261255	0	0
i_lick_F07-i_lick_F08	1	2	0	0.6072010765783489	1	1
I_deed_H09-i_did_H07	2	2	1	0.23280005832202733	0	1
i_sick_F06-I_seek_F05	2	2	1	0.6072010778589174	0	0
I_mean_H08-I_mean_H06	1	1	1	0.3888010281370953	0	0
i_did_F08-I_deed_F05	2	2	1	0.6228010755730793	0	0
I_beak_H05-i_bik_H06	2	2	1	1.2780018976191059	0	0
i_chip_F07-i_cheap_F04	1	2	0	0.12360098317731172	1	2
i_tick_H06-I_teak_H09	2	2	1	0.5136008985573426	0	0
I_bean_F06-I_bean_F05	1	1	1	0.7008010690333322	0	0
I_teak_H08-I_teak_H04	1	2	0	0.7632010418456048	1	0
I_cheap_H08-I_chip_H07	1	1	1	0.76320088817738	0	1
I_beak_F09-i_bik_F04	2	2	1	0.5604009056696668	0	0
I_keep_F04-I_keep_F08	1	1	1	0.310800927109085	0	0

#TotalErreurs#7#TempsTotal#2min 47sec
