#Fri Mar 19 17:23:23 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_mutt_H09	mutt	v	1.722886085510254	0	0
v_cup_H06	cup	v	1.2229208946228027	0	0
v_cut_H07	cut	v	1.122258186340332	0	0
a_ban_H05	ban	a	1.0238409042358398	0	0
v_mutt_F05	mutt	v	1.1325960159301758	0	1
a_lack_F09	lack	a	1.114806890487671	0	0
a_cad_H04	cad	a	1.0284008979797363	0	0
v_luck_F08	luck	v	1.3552110195159912	0	0
v_bun_H05	bun	v	1.4185271263122559	0	0
a_ban_F08	ban	a	1.124831199645996	0	0
a_cap_H07	cap	a	0.9885377883911133	0	0
a_cap_F06	cap	a	1.0820400714874268	0	0
a_pack_F04	pack	a	1.128783941268921	0	0
v_cup_H04	cup	v	0.9977240562438965	0	0
v_mutt_H04	mutt	v	0.9869098663330078	0	1
a_pat_F07	pat	a	1.1817271709442139	0	0
a_lack_F05	lack	a	1.2530689239501953	0	0
v_bun_F06	bun	v	1.4485888481140137	0	1
a_cad_F07	cad	a	1.3298780918121338	0	0
v_puck_H08	puck	v	1.3559637069702148	0	0
a_lack_H04	lack	a	0.9801390171051025	0	1
a_tat_F09	tat	a	1.082366943359375	0	0
a_lack_H06	lack	a	1.14292311668396	0	0
v_bun_H07	bun	v	1.5639162063598633	0	1
v_luck_F05	luck	v	1.8942549228668213	0	0
v_cup_F06	cup	v	1.494326114654541	0	0
a_cap_H05	cap	a	1.3471529483795166	0	0
a_back_H08	back	a	1.1158270835876465	0	0
v_putt_F08	putt	v	1.6466987133026123	0	0
v_cup_F05	cup	v	1.3333349227905273	0	0

#TotalErreurs#0TempsTotal#1min 39sec
