#Sat Mar 27 23:41:59 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_tat_H09	tat	a	1.5158751010894775	0	0
a_tat_F08	tat	a	1.0166749954223633	0	1
a_pack_F08	pack	a	1.0572938919067383	0	0
a_cap_F07	cap	a	1.4660670757293701	0	0
v_bun_F07	bun	v	1.331606149673462	0	0
v_putt_F04	putt	v	1.694676160812378	0	1
v_cud_H04	cud	v	0.28098416328430176	1	1
a_tat_H06	tat	a	1.0302739143371582	0	0
a_ban_F06	ban	a	1.1362190246582031	0	0
v_cud_F08	cud	v	1.0958731174468994	0	0
v_putt_F06	putt	v	1.390838623046875	0	0
v_cud_H07	cud	v	1.2480130195617676	0	0
a_mat_H07	mat	a	1.1019988059997559	0	0
v_buck_F05	buck	v	2.427258014678955	0	0
a_cat_F06	cat	a	1.0664589405059814	0	0
a_pack_H06	pack	a	1.1296319961547852	0	0
v_luck_H07	luck	v	1.407634973526001	0	1
a_cad_F09	cad	a	1.72629976272583	0	0
a_pat_F08	pat	a	1.4165799617767334	0	0
v_bun_F04	bun	v	1.2069580554962158	0	0
a_mat_H08	mat	a	1.2424860000610352	0	0
a_ban_H07	ban	a	1.1162049770355225	0	0
a_mat_H04	mat	a	1.1064281463623047	0	0
v_bun_H06	bun	v	0.942188024520874	0	1
v_bun_H08	bun	v	1.7408421039581299	0	0
v_bun_H07	bun	v	0.19375205039978027	0	0
v_cup_H06	cup	v	1.72670578956604	0	0
v_cup_H04	cup	v	1.0203309059143066	0	1
a_cat_F09	cat	a	1.0793850421905518	0	1
a_mat_F04	mat	a	1.6247210502624512	0	0

#TotalErreurs#1TempsTotal#1min 42sec
