#Tue Feb 02 20:50:46 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_putt_H07	putt	v	0.3546152114868164	1	2
A_barn_F04	barn	A	1.5007407665252686	0	0
A_card_F04	card	A	1.2126309871673584	0	1
A_mart_F07	mart	A	0.9785201549530029	1	1
A_tart_H07	tart	A	2.040764808654785	0	0
A_part_F09	part	A	0.9847381114959717	0	1
A_mart_H04	mart	A	1.4749619960784912	0	2
v_buck_F06	buck	v	0.6004552841186523	0	2
A_barn_H06	barn	A	1.3219068050384521	0	0
v_mutt_F06	mutt	v	1.3433949947357178	0	0
v_buck_F05	buck	v	1.2308638095855713	0	0
v_cut_F05	cut	v	0.6672098636627197	0	2
v_bun_F04	bun	v	0.34134411811828613	1	3
A_park_H04	park	A	1.1984901428222656	0	1
A_carp_H06	carp	A	0.759570837020874	0	2
v_cut_H09	cut	v	1.2438561916351318	0	0
v_cup_F07	cup	v	0.702305793762207	0	3
A_barn_H07	barn	A	1.4025459289550781	0	0
A_carp_H07	carp	A	0.8049600124359131	0	2
v_luck_F04	luck	v	1.1063971519470215	0	1
A_park_F04	park	A	1.0924620628356934	0	1
A_card_H09	card	A	1.411830186843872	0	0
A_tart_F08	tart	A	1.0136277675628662	0	3
v_putt_F09	putt	v	0.7018611431121826	0	2
A_bark_H05	bark	A	0.3281519412994385	1	3
v_mutt_H07	mutt	v	1.8046650886535645	0	0
v_tut_F04	tut	v	0.3041679859161377	1	1
A_part_F08	part	A	0.7293300628662109	0	2
v_bun_F05	bun	v	0.6858310699462891	1	1
v_putt_F08	putt	v	0.3413701057434082	1	2

#TotalErreurs#7TempsTotal#2min 32sec
