#Sat Mar 27 17:55:04 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_ban_F06	ban	a	2.829686295999636	0	0
v_cud_H05	cud	v	1.6605429779992846	0	0
v_bun_H06	bun	v	3.6179492989995197	0	0
a_mat_F07	mat	a	1.3096351570002298	0	0
v_bun_F09	bun	v	1.8103046140004153	0	0
v_bun_F08	bun	v	1.6948496609984431	0	0
v_putt_H05	putt	v	1.9185313699999824	0	0
v_mutt_F09	mutt	v	1.304876737000086	0	0
a_mat_F09	mat	a	1.0662650560007023	0	0
a_lack_F07	lack	a	2.817254536001201	0	0
a_cat_F07	cat	a	1.769540491999578	0	0
v_luck_H04	luck	v	2.563751689998753	0	0
v_puck_F05	puck	v	8.29375193800115	0	0
v_buck_F05	buck	v	1.3926349829998799	0	0
v_mutt_H06	mutt	v	1.0910167239999282	0	0
v_putt_F04	putt	v	2.5639594229996874	0	0
v_puck_H09	puck	v	1.1065158660003362	0	0
a_pat_H09	pat	a	2.7924084839996794	0	0
v_puck_H06	puck	v	2.754442116000064	0	0
v_buck_H04	buck	v	1.9926406869999482	0	0
a_back_F06	back	a	3.2925499649991252	0	0
v_luck_H09	luck	v	1.5142789799992897	0	0
v_luck_F05	luck	v	2.952278743001443	0	0
v_tut_F08	tut	v	1.5811783760000253	0	0
a_back_H09	back	a	1.4467779040005553	0	0
a_cad_F04	cad	a	1.6593222139999853	0	0
v_buck_F04	buck	v	2.5797127350015217	0	0
v_luck_H07	luck	v	1.6114741640012653	0	0
v_buck_H07	buck	v	1.6948508570003469	0	0
v_mutt_F08	mutt	v	1.1240153409999039	0	0

#TotalErreurs#0TempsTotal#1min 56sec
