#Sun Mar 21 14:20:36 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_putt_H07	putt	v	2.06084279699985	0	0
A_park_F05	park	A	1.4365834049999648	0	0
v_putt_F06	putt	v	3.410734520999995	0	0
A_cart_F06	cart	A	1.1058923949999553	0	0
A_lark_F09	lark	A	1.1870631080000749	0	0
v_puck_H04	puck	v	0.9446230159999232	0	0
A_barn_H05	barn	A	0.06284291099996153	1	0
A_carp_H07	carp	A	1.1668554140001106	0	0
v_cup_F06	cup	v	2.3436628670001483	0	0
A_part_F08	part	A	1.1851155520000702	0	0
v_putt_F07	putt	v	1.0108893190001709	0	0
A_bark_H06	bark	A	2.434879144999968	0	0
A_tart_H08	tart	A	1.3243803190000563	0	0
v_buck_F04	buck	v	1.3062675710000349	0	0
v_cup_F05	cup	v	1.4560519550000208	0	0
v_cut_H07	cut	v	1.8898405499999171	0	0
v_luck_F05	luck	v	3.015504589000102	0	0
A_card_F09	card	A	2.0257985700000063	0	0
v_buck_F07	buck	v	2.2762566689998494	0	0
A_cart_F09	cart	A	2.2700059930000407	0	0
v_cup_H05	cup	v	2.472746455999868	0	0
v_cup_H06	cup	v	1.3114070550000179	0	0
A_card_F08	card	A	1.4973214209999242	0	0
v_tut_F06	tut	v	1.9616803119999986	0	0
A_part_F05	part	A	1.4702678339999693	0	0
A_cart_H06	cart	A	2.122325255000078	0	0
v_luck_H08	luck	v	1.6813367120000748	0	0
v_tut_F09	tut	v	1.5985745100001623	0	0
A_part_F07	part	A	1.518891604999908	0	0
v_luck_H07	luck	v	3.9694736300000386	0	0

#TotalErreurs#1TempsTotal#1min 50sec
