#Tue Feb 23 15:27:01 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_tut_F06	tut	v	1.1258023479999792	0	0
A_cart_H09	cart	A	1.4927333130000306	0	0
v_luck_H05	luck	v	1.6907063239999616	0	0
v_puck_F09	puck	v	1.2423163229999545	0	0
A_bark_F06	bark	A	2.0697345240000686	0	0
A_part_H04	part	A	1.2854821619999939	0	0
v_mutt_H05	mutt	v	0.38365151499999683	1	0
v_luck_F05	luck	v	1.2614991180000743	0	0
A_barn_F07	barn	A	1.002312800000027	0	0
A_tart_H08	tart	A	1.2924361760000238	0	0
A_bark_H05	bark	A	0.8906122819998927	0	0
A_carp_H06	carp	A	2.2610099559999526	0	0
v_putt_F08	putt	v	1.31843574800007	0	0
v_putt_H06	putt	v	0.872193632999938	0	0
A_carp_H05	carp	A	0.9872772559999703	0	0
v_buck_H08	buck	v	1.5856043019999788	0	0
v_cud_F07	cud	v	1.1653234950000524	0	0
A_tart_F07	tart	A	1.0089641460000394	0	0
A_card_F06	card	A	1.0883947890000627	0	0
v_cut_H06	cut	v	0.9225271799999746	0	0
v_cup_H09	cup	v	0.743753890999983	0	0
v_mutt_H04	mutt	v	1.2507643540000117	0	0
A_barn_F04	barn	A	1.5877513699999781	0	0
v_bun_F08	bun	v	0.3443835409999565	1	0
v_mutt_H07	mutt	v	1.3752932520000059	0	0
v_luck_H04	luck	v	1.4719497060000322	0	0
A_part_F05	part	A	1.3080690609999692	0	0
A_cart_F04	cart	A	1.1415155020000611	0	0
v_cud_F08	cud	v	0.9750981180000053	0	0
v_puck_F04	puck	v	1.2781690119999212	0	0

#TotalErreurs#2TempsTotal#1min 52sec
