#Mon May  3 14:57:23 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_teak_H04	teak	I	2.866349302999879	0	0
I_peak_F04	peak	I	16.934866510000575	0	0
i_lick_H05	lick	i	1.0327721069998006	0	0
I_seek_H06	seek	I	1.0099050640001224	0	0
i_kip_F06	kip	i	1.2664709560003757	0	0
I_teak_H07	teak	I	1.6979150160004792	0	0
i_bin_F09	bin	i	0.9768275050000739	0	0
I_mean_F07	mean	I	0.8066709270005958	0	0
i_sick_H09	sick	i	1.3133967430003395	0	0
i_kip_F08	kip	i	2.2812632420000227	0	0
I_cheap_H04	cheap	I	1.7187441039995974	0	0
i_kip_F09	kip	i	13.094247513000482	0	0
i_bik_H08	bik	i	0.8882599190001201	0	0
I_keep_H09	keep	I	1.0214099849999911	0	0
i_kip_F07	kip	i	0.8224297510005272	0	0
i_min_H05	min	i	1.3090873900000588	0	0
I_seek_H04	seek	I	3.6513862350002455	0	0
i_sick_H07	sick	i	1.1258125180002025	0	0
I_beak_F06	beak	I	1.0098982279996562	0	0
i_tick_H09	tick	i	0.9187062159999186	0	0
I_cheap_H05	cheap	I	1.0301370500001212	0	0
I_deed_F04	deed	I	1.045145739999498	0	0
i_pick_H09	pick	i	1.026993859999493	0	0
I_keep_F08	keep	I	0.9051260460000776	0	0
I_beak_F04	beak	I	2.556983614999808	0	0
I_beak_H06	beak	I	1.3293032940000558	0	0
i_did_F06	did	i	0.1978290939996441	1	0
i_did_H08	did	i	0.06124275500042131	1	0
i_chip_H05	chip	i	1.6642573580002136	0	0
i_tick_H06	tick	i	0.8532711220004785	0	0

#TotalErreurs#2TempsTotal#2min 3sec
