Sun Apr 25 15:41:07 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_tick_F04	tick	i	i	5.858599457999844	0	0
i_kip_H08	kip	i	i	1.7403218760000527	0	0
a_tat_F05	tat	a	a	1.4823686390000148	0	0
v_tut_H06	tut	v	v	1.030065299999933	0	0
a_cat_H08	cat	a	a	1.3498943370000234	0	0
v_tut_H07	tut	v	v	1.2875853989999086	0	0
i_sick_F06	sick	i	i	2.7465036829999008	0	0
a_pack_F08	pack	a	a	1.0651606900000843	0	0
v_tut_H05	tut	v	v	1.2266153519999534	0	0
A_tart_H04	tart	A	A	1.5377723200001583	0	0
a_ban_F09	ban	a	a	1.1652685569999903	0	0
i_pick_F09	pick	i	i	1.664287929000011	0	0
A_barn_F06	barn	A	A	2.029541135000045	0	0
a_pack_H09	pack	a	a	1.0258711890000995	0	0
v_tut_F06	tut	v	v	9.735990135000065	0	0
v_cud_H05	cud	v	v	1.105353586000092	0	0
i_tick_H06	tick	i	i	1.9816484580001088	0	0
a_cad_F08	cad	a	a	163.03143417499996	0	0
v_cut_H07	cut	v	v	1.1749753190001684	0	0
i_did_H07	did	i	i	1.7457842150001852	0	0
v_tut_H09	tut	v	v	13.778885685000205	0	0
A_tart_H09	tart	A	A	1.5975017060000027	0	0
I_keep_F04	keep	I	I	1.4164187179999317	0	0
v_cud_H06	cud	v	v	1.0520768459996361	0	0
v_bun_H07	bun	v	v	1.1726413179999327	0	0
a_cat_F09	cat	a	a	0.9873128089998318	0	0
v_cut_F08	cut	v	v	0.9720847329999742	0	0
A_cart_H08	cart	A	A	1.6697626010000022	0	0
a_tat_F06	tat	a	a	1.193234824999763	0	0
v_bun_F08	bun	v	v	1.5936327650001658	0	0

#TotalErreurs#0#TempsTotal#4min 40sec
