#Tue Mar  2 14:35:32 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_lack_H09-v_luck_H06	2	2	1	0.214431935000448	0	1
a_ban_F08-a_ban_F05	1	2	0	0.040442139000333555	1	0
a_cat_F08-a_cat_F05	1	1	1	1.916559844999938	0	0
a_cad_F05-v_cud_F04	2	2	1	0.40888608900013423	0	0
a_lack_F08-a_lack_F09	1	1	1	3.0245839270000943	0	0
a_back_H04-a_back_H09	1	1	1	0.04344798300007824	0	0
a_ban_F05-v_bun_F06	2	2	1	4.293114307999986	0	0
a_ban_H07-v_bun_H09	2	2	1	3.001898617000279	0	0
v_tut_F04-a_tat_F07	2	1	0	0.041725189999851864	1	0
v_luck_F04-a_lack_F05	2	2	1	0.17251164900017102	0	0
v_tut_H06-a_tat_H09	2	2	1	0.38877498000010746	0	0
a_cap_F04-a_cap_F05	1	1	1	2.2518306179999854	0	0
a_cad_F04-a_cad_F08	1	1	1	2.729942822999874	0	0
v_cud_F09-v_cud_F06	1	2	0	0.04227708300004451	1	0
a_pack_H08-a_pack_H09	1	2	0	0.037361790999966615	1	0
v_mutt_H05-v_mutt_H04	1	1	1	2.100728207999964	0	0
a_mat_H05-v_mutt_H07	2	2	1	2.212297767000109	0	0
a_back_F09-v_buck_F07	2	2	1	0.04484992000016064	0	0
v_cup_F06-a_cap_F05	2	2	1	0.1030171799998243	0	0
a_pack_F05-v_puck_F09	2	2	1	2.2867733670000234	0	0
v_cud_H07-v_cud_H08	1	1	1	6.295181409999714	0	0
a_back_F06-a_back_F04	1	1	1	0.04428905800023131	0	0
a_cap_H07-v_cup_H06	2	2	1	1.2237330230000225	0	0
a_cap_H09-v_cup_H08	2	2	1	4.17146424900011	0	0
a_cad_H09-v_cud_H06	2	2	1	0.370370455000284	0	0
v_cup_F07-v_cup_F04	1	2	0	0.04113180200010902	1	0
a_cap_F06-a_cap_F07	1	1	1	0.5798888509998505	0	0
v_buck_H09-v_buck_H04	1	1	1	3.372575280000092	0	0
a_cat_F09-v_cut_F07	2	2	1	0.8762073289999535	0	0
v_mutt_H07-v_mutt_H08	1	1	1	3.5158372870000676	0	0

#TotalErreurs#5#TempsTotal#2min 38sec
