#Sat Mar 20 23:00:33 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_pick_F09-i_pick_F07	1	1	1	17.51722762099962	0	0
i_chip_H07-i_cheap_H04	1	2	0	0.8121766449985444	1	0
i_chip_H04-I_chip_H05	2	1	0	0.04365140599838924	1	0
I_leak_F05-i_lick_F09	2	1	0	0.04170392100058962	1	0
I_teak_H04-I_teak_H08	1	2	0	0.37819078900065506	1	0
I_mean_H04-I_mean_H09	1	2	0	0.043548613000893965	1	0
i_sick_H07-i_sick_H08	1	2	0	0.43969270800153026	1	0
I_keep_H08-I_keep_H06	1	1	1	1.3669160429999465	0	0
I_teak_H07-i_tick_H04	2	2	1	2.6166339199990034	0	0
I_bean_H09-i_bin_H06	2	2	1	0.5085128809951129	0	0
i_tick_H06-I_teak_H09	2	2	1	0.18493596000189427	0	0
i_kip_H06-I_keep_H05	2	2	1	0.7607793299976038	0	0
I_keep_H04-I_keep_H08	1	2	0	0.0422463049981161	1	0
i_kip_H09-i_kip_H06	1	1	1	1.2295917889932753	0	0
I_bean_F06-I_bean_F05	1	1	1	0.8296936509941588	0	0
i_bik_F06-I_beak_F07	2	2	1	2.4734544400052982	0	0
I_teak_H05-i_tick_H04	2	2	1	2.708220815002278	0	0
I_keep_H05-i_kip_H04	2	2	1	2.0495741150007234	0	0
i_bin_H06-I_bean_H04	2	2	1	1.0136015879979823	0	0
i_kip_H08-I_keep_H04	2	2	1	1.3164613299959456	0	0
i_pick_H06-I_peak_H07	2	2	1	5.662896068002738	0	0
i_bin_H04-I_bean_H05	2	2	1	1.34276832100295	0	0
I_beak_F09-i_bik_F04	2	2	1	1.2894293459976325	0	0
I_peak_F05-i_pick_F06	2	2	1	1.3014959009960876	0	0
i_sick_H06-I_seek_H05	2	2	1	1.4625882460022694	0	0
i_pick_F08-I_peak_F06	2	2	1	0.526437114996952	0	0
i_bin_H07-i_bin_H09	1	1	1	2.6170247860063682	0	0
I_bean_H07-i_bin_H08	2	2	1	1.9227675880028983	0	0
i_lick_H05-i_lick_H06	1	1	1	1.2492174660001183	0	0
I_teak_F06-I_teak_F08	1	1	1	1.6193939880031394	0	0

#TotalErreurs#7#TempsTotal#3min 37sec
