#Sun May  2 13:52:49 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_chip_F04-I_chip_F05	2	1	0	0.04581573500001923	1	0
I_leak_F04-I_leak_F06	1	1	1	0.29699172499999804	0	0
I_leak_F09-i_lick_F08	2	2	1	1.253428891999988	0	0
i_min_H07-i_min_H08	1	1	1	1.1428692110000043	0	0
I_teak_H09-i_tick_H05	2	2	1	0.48183922500001586	0	0
i_pick_H08-I_peak_H06	2	2	1	2.0214248200000213	0	0
I_teak_F06-I_teak_F08	1	1	1	0.04059933400000659	0	0
I_keep_H05-i_kip_H04	2	2	1	0.9482889439999838	0	0
I_teak_F07-i_tick_F04	2	2	1	6.577546729999995	0	0
i_min_H06-I_mean_H08	2	2	1	8.018186119000006	0	0
i_bik_F05-i_bik_F06	1	1	1	6.3473246089999975	0	0
I_seek_H05-i_sick_H07	2	2	1	2.4080603490000385	0	0
I_leak_F05-i_lick_F09	2	2	1	0.8431129150000061	0	0
I_cheap_H07-i_cheap_H06	2	2	1	3.7904503780000027	0	0
i_chip_H08-I_chip_H06	2	2	1	4.542464460000019	0	0
I_peak_F09-i_pick_F05	2	2	1	1.2905919850000487	0	0
I_bean_H07-i_bin_H08	2	2	1	1.297980554999981	0	0
i_min_H05-i_min_H09	1	1	1	7.385516881000001	0	0
i_min_F06-I_mean_F08	2	2	1	0.8251610140000025	0	0
i_bik_F06-I_beak_F07	2	2	1	1.4073942950000173	0	0
I_cheap_F08-I_chip_F07	1	1	1	1.468943452000019	0	0
I_bean_H06-I_bean_H05	1	2	0	0.0427956629999926	1	0
i_sick_F07-i_sick_F08	1	1	1	1.3027876529999958	0	0
i_kip_H06-I_keep_H05	2	2	1	2.875935980999998	0	0
I_leak_F08-I_leak_F09	1	1	1	0.3647544710000261	0	0
i_sick_H08-I_seek_H09	2	2	1	0.07351375100000723	0	0
I_mean_H09-i_min_H07	2	2	1	0.04462944499999821	0	0
i_bin_H05-i_bin_H04	1	2	0	0.045310230999973555	1	0
I_keep_F08-I_keep_F06	1	1	1	1.086107314000003	0	0
I_leak_H09-i_lick_H08	2	2	1	0.05747380700000804	0	0

#TotalErreurs#3#TempsTotal#3min 23sec
