#Tue Feb 23 15:17:53 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_tick_H07-i_tick_H06	1	1	1	0.8734660279999957	0	0
I_leak_F07-i_lick_F04	2	2	1	0.41698505100004013	0	0
i_bik_F08-I_beak_F04	2	2	1	1.648130124999966	0	0
I_keep_H06-I_keep_H07	1	1	1	0.18404439600004707	0	0
I_keep_F05-i_kip_F04	2	2	1	0.30282826199999135	0	0
I_leak_F09-i_lick_F08	2	2	1	0.23391727500001025	0	0
i_kip_F08-I_keep_F04	2	1	0	0.06542294700000184	1	0
I_cheap_H07-i_cheap_H06	2	2	1	0.040685364000012214	0	0
I_keep_H04-I_keep_H08	1	2	0	0.16984435199998416	1	0
i_bik_H04-I_beak_H06	2	1	0	0.04549477799997703	1	0
i_lick_F09-i_lick_F08	1	1	1	1.9422340209999902	0	0
I_mean_F05-i_min_F08	2	2	1	0.24792927599997938	0	0
I_peak_F05-i_pick_F06	2	2	1	0.2451619109999683	0	0
i_tick_F05-i_tick_F08	1	1	1	0.23098147399997515	0	0
i_did_F08-I_deed_F05	2	2	1	0.045963948000007804	0	0
I_mean_F07-i_min_F04	2	2	1	0.15551802300001327	0	0
I_mean_F09-i_min_F07	2	1	0	0.0448706430000243	1	0
I_deed_H05-i_did_H04	2	1	0	0.04244514100003016	1	0
i_chip_F08-I_chip_F06	2	1	0	0.04281531899999891	1	0
I_keep_F08-I_keep_F06	1	1	1	2.2423893300000373	0	0
i_bin_F04-I_bean_F05	2	2	1	0.4854980260000161	0	0
i_sick_H07-i_sick_H08	1	1	1	0.468560693000029	0	0
i_sick_F05-i_sick_F04	1	1	1	0.41188022500000443	0	0
I_peak_F04-I_peak_F07	1	1	1	0.28300366999997095	0	0
I_cheap_F08-I_chip_F07	1	2	0	3.1658372410000197	1	0
i_kip_H05-i_kip_H04	1	1	1	0.1790623669999718	0	0
i_min_H08-I_mean_H07	2	1	0	0.048562186000026486	1	0
i_bin_F06-I_bean_F04	2	1	0	0.04379825000000892	1	0
I_peak_F07-i_pick_F09	2	1	0	0.04275464700003795	1	0
I_leak_F05-i_lick_F09	2	1	0	0.042373414999985926	1	0

#TotalErreurs#11#TempsTotal#2min 22sec
