#Mon Feb 22 07:53:22 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_min_H04	min	i	0.2984142303466797	1	0
I_teak_F08	teak	I	1.335155963897705	0	0
i_pick_H08	pick	i	0.301926851272583	1	0
i_did_H08	did	i	1.503391981124878	1	0
I_deed_F04	deed	I	1.1773669719696045	0	0
i_bin_F07	bin	i	0.9809460639953613	0	0
I_cheap_H05	cheap	I	1.8061118125915527	1	0
i_did_H07	did	i	2.5034501552581787	0	0
I_teak_H08	teak	I	1.9181098937988281	0	0
I_teak_H09	teak	I	3.242039680480957	0	0
i_pick_H07	pick	i	1.7461581230163574	0	0
I_cheap_F05	cheap	I	1.355402946472168	0	0
I_cheap_F06	cheap	I	2.03852915763855	0	0
i_lick_H04	lick	i	2.392345666885376	0	0
I_beak_H05	beak	I	1.210564136505127	1	0
i_bik_F07	bik	i	1.6995480060577393	0	0
I_beak_H04	beak	I	0.3133261203765869	2	0
I_cheap_H08	cheap	I	2.274747133255005	0	0
i_lick_F05	lick	i	1.4846298694610596	0	0
I_bean_H08	bean	I	0.608428955078125	1	0
I_seek_H05	seek	I	0.29802489280700684	1	0
i_kip_F08	kip	i	1.588953971862793	0	0
I_seek_F05	seek	I	1.8445689678192139	0	0
I_leak_F09	leak	I	1.4411699771881104	0	0
i_sick_F05	sick	i	1.5516529083251953	0	0
I_leak_F06	leak	I	1.2536959648132324	0	0
I_bean_H09	bean	I	1.3019731044769287	0	0
I_leak_F08	leak	I	2.654451847076416	0	0
i_min_H09	min	i	1.5002667903900146	0	0
i_lick_F06	lick	i	1.5642549991607666	0	0

#TotalErreurs#9TempsTotal#2min 3sec
