#Tue Mar 23 22:50:19 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_cheap_F04	cheap	I	4.271926164627075	0	0
i_lick_F09	lick	i	2.6265017986297607	0	0
I_mean_F04	mean	I	3.117502212524414	0	0
i_sick_F08	sick	i	1.032165765762329	0	0
I_teak_F07	teak	I	1.2944090366363525	0	0
i_pick_H09	pick	i	1.694317102432251	0	0
I_beak_H04	beak	I	1.632066011428833	0	0
I_deed_H05	deed	I	1.3641197681427002	0	0
I_peak_F04	peak	I	1.3306539058685303	0	0
I_leak_H05	leak	I	1.3173980712890625	0	0
I_bean_F06	bean	I	2.751512050628662	0	0
i_did_H05	did	i	2.0739147663116455	0	0
I_cheap_F07	cheap	I	1.4360618591308594	0	0
I_beak_F05	beak	I	1.809736967086792	0	0
i_lick_F07	lick	i	1.5909910202026367	0	0
I_bean_F07	bean	I	24.132208824157715	0	0
I_peak_H08	peak	I	1.4423868656158447	0	0
I_mean_H08	mean	I	1.177751064300537	0	0
i_tick_F07	tick	i	4.297183990478516	0	0
I_peak_F05	peak	I	3.4701499938964844	0	0
I_seek_H06	seek	I	4.416589736938477	0	0
i_did_F04	did	i	2.4670610427856445	0	0
i_pick_H08	pick	i	2.415748119354248	0	0
i_kip_F06	kip	i	1.7990520000457764	0	0
I_mean_H05	mean	I	1.618797779083252	0	0
i_pick_F04	pick	i	2.797746181488037	0	0
i_chip_F04	chip	i	1.7810821533203125	0	0
i_bin_F08	bin	i	1.9087450504302979	0	0
I_mean_H04	mean	I	1.4794270992279053	0	0
i_sick_F09	sick	i	1.4699389934539795	0	0

#TotalErreurs#0TempsTotal#2min 14sec
