Thu Feb 11 19:07:25 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_pick_H05	pick	i	i	45.779638051986694	0	0
A_cart_H06	cart	A	A	4.656339883804321	0	0
a_cat_F05	cat	a	a	1.562323808670044	0	0
A_card_H04	card	A	v	1.2102329730987549	1	0
i_tick_F04	tick	i	i	4.240286111831665	0	0
i_did_F09	did	i	I	0.3467988967895508	1	0
A_cart_F06	cart	A	A	2.7000739574432373	0	0
I_deed_F09	deed	I	I	1.6765210628509521	0	0
i_pick_F04	pick	i	i	1.4666917324066162	0	0
I_seek_F07	seek	I	I	1.7230498790740967	0	0
v_cud_H09	cud	v	v	1.5923712253570557	0	0
I_peak_F04	peak	I	i	0.32246899604797363	1	0
i_tick_F05	tick	i	i	1.7506451606750488	0	0
a_cad_H07	cad	a	a	2.250598907470703	0	0
i_sick_F05	sick	i	i	2.402970790863037	0	0
I_keep_H09	keep	I	I	1.8601810932159424	0	0
i_pick_F09	pick	i	i	1.434272050857544	0	0
v_tut_F05	tut	v	a	0.3208138942718506	2	0
i_pick_F05	pick	i	i	2.127722978591919	0	0
A_barn_F04	barn	A	v	0.29618191719055176	2	0
I_seek_H06	seek	I	I	2.7210471630096436	0	0
v_cut_H07	cut	v	v	3.1112420558929443	0	0
v_puck_H05	puck	v	a	0.7587981224060059	1	0
I_peak_F08	peak	I	I	2.451176166534424	0	0
A_tart_F08	tart	A	A	2.6725339889526367	0	0
v_puck_F09	puck	v	v	2.044173002243042	0	0
v_puck_H08	puck	v	v	1.8236808776855469	0	0
I_teak_H09	teak	I	I	1.9971961975097656	0	0
i_tick_H08	tick	i	i	1.284304141998291	0	0
v_tut_H04	tut	v	a	0.31621408462524414	1	0

#TotalErreurs#9#TempsTotal#3min 2sec
