Wed Mar 24 22:57:09 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_did_H06	did	i	i	4.907858848571777	0	0
a_pack_F07	pack	a	a	12.917598962783813	0	0
I_keep_H08	keep	I	I	1.7634623050689697	0	0
I_deed_H09	deed	I	I	1.3510241508483887	0	0
a_ban_H05	ban	a	a	1.579345941543579	0	0
I_peak_F09	peak	I	I	1.418262004852295	0	0
A_cart_F04	cart	A	I	2.8546109199523926	1	0
v_puck_H07	puck	v	v	1.549680233001709	0	0
I_seek_H04	seek	I	I	1.9131498336791992	0	0
a_cat_F04	cat	a	a	2.282099962234497	0	0
I_teak_H05	teak	I	I	1.7511529922485352	0	0
i_pick_H06	pick	i	i	1.7802529335021973	0	0
i_pick_F07	pick	i	i	2.1333670616149902	0	0
a_ban_H06	ban	a	a	1.183582067489624	0	0
i_pick_H04	pick	i	i	1.8895068168640137	0	0
I_keep_H04	keep	I	I	1.6553971767425537	0	0
I_keep_H09	keep	I	I	1.1849069595336914	0	0
A_barn_F04	barn	A	A	1.5344178676605225	0	0
a_ban_F05	ban	a	a	1.3777756690979004	0	0
A_barn_H07	barn	A	A	1.488839864730835	0	0
v_puck_F08	puck	v	v	1.3741400241851807	0	0
I_peak_H06	peak	I	I	2.021357774734497	0	0
i_kip_H04	kip	i	i	2.1240079402923584	0	0
a_cat_H05	cat	a	a	2.999788761138916	0	0
I_keep_F07	keep	I	I	1.7650279998779297	0	0
a_ban_F04	ban	a	a	2.3964438438415527	0	0
a_pack_H05	pack	a	a	8.522960901260376	0	0
i_pick_F09	pick	i	i	4.9583961963653564	0	0
A_barn_F06	barn	A	A	1.7143769264221191	0	0
i_sick_F04	sick	i	i	2.1926209926605225	0	0

#TotalErreurs#1#TempsTotal#2min 9sec
