#Mon May 03 08:55:38 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_putt_H09-v_putt_H08	1	1	1	8.39282512664795	0	0
A_park_H08-A_park_H09	1	1	1	1.1295499801635742	0	0
v_cut_H08-A_cart_H05	2	2	1	2.067646026611328	0	0
A_lark_H09-v_luck_H06	2	2	1	1.1555609703063965	0	0
A_park_F07-v_puck_F04	2	2	1	1.2544169425964355	0	0
v_mutt_H06-A_mart_H05	2	2	1	1.7471258640289307	0	0
A_card_H04-A_card_H08	1	1	1	1.2936832904815674	0	0
v_mutt_H04-A_mart_H07	2	2	1	1.128197193145752	0	0
v_cut_H04-A_cart_H09	2	2	1	1.183241844177246	0	0
v_cup_F06-A_carp_F05	2	2	1	1.1326980590820312	0	0
A_tart_H06-A_tart_H08	1	1	1	1.3201842308044434	0	0
v_tut_F09-v_tut_F07	1	1	1	1.4471931457519531	0	0
A_carp_F04-A_carp_F05	1	1	1	5.848557710647583	0	0
A_part_H05-v_putt_H06	2	2	1	1.5856568813323975	0	0
v_cut_H06-A_cart_H09	2	2	1	1.1404826641082764	0	0
A_bark_F06-A_bark_F04	1	1	1	1.655141830444336	0	0
A_barn_H08-A_barn_H05	1	1	1	1.272859811782837	0	0
A_part_F09-v_putt_F04	2	2	1	1.455146074295044	0	0
A_cart_H07-v_cut_H05	2	2	1	1.2346618175506592	0	0
v_putt_F08-A_part_F04	2	2	1	1.2101590633392334	0	0
A_lark_F05-v_luck_F06	2	2	1	2.0187251567840576	0	0
v_buck_H08-A_bark_H07	2	2	1	1.348376989364624	0	0
A_lark_H06-A_lark_H05	1	1	1	1.1983928680419922	0	0
v_mutt_F08-A_mart_F09	2	2	1	1.51242995262146	0	0
v_cup_F07-v_cup_F04	1	1	1	1.7630589008331299	0	0
A_tart_F04-A_tart_F08	1	1	1	1.5487480163574219	0	0
v_bun_F06-A_barn_F07	2	2	1	1.4281141757965088	0	0
v_buck_H05-v_buck_H09	1	1	1	1.2651300430297852	0	0
v_putt_F04-A_part_F06	2	1	0	0.15597796440124512	1	0
A_tart_H08-A_tart_H04	1	1	1	0.8275022506713867	0	0

#TotalErreurs#1#TempsTotal#2min 41sec
